"Name","Creator","Genre","Client sale method","Client purchase price","Monthly fee required","Monthly subscription available","Release date(s)","Last update"
"Age of Conan","Funcom","Sword & Sorcery","Download","Free","No","Subscriptions available","May 20, 2008","January 18, 2011 (18.1.11)"
"Aion: The Tower of Eternity","NCSoft","Fantasy","Retail sale or Download","Free","No","No","September 22, 2009","June 18, 2014 (4.5.0.18)"
"Anarchy Online","Funcom","Science fiction","Download","Free","No","€17.19/month full access","June 7, 2001","July 19, 2012 (18.5.1)"
"Asheron's Call","Turbine","Fantasy","Download","US$9.99","No","No","October 31, 1999","July 13, 2010"
"Champions Online","Cryptic Studios","Superhero comic book genre","Retail sale or Download","Free as of January 2011
(Originally $49.99)","No","Gold Subscriptions available
Adds additional archetypes and character creation options.","September 1, 2009 
September 10, 2009","February 20, 2014"
"City of Heroes","NCSoft / Paragon Studios","Superhero comic book","Shut Down 11/30/2012","","","","April 28, 2004","April 15, 2011 (Last update before closing)"
"Darkfall","Aventurine SA","Fantasy","Retail sale or Download","€29.95","Yes","€11.77","February 26, 2009","Unknown"
"DarkSpace","PaleStar","Science fiction","Download","Free","No","No","2001","April 3, 2011 (1.660)"
"Dark Age of Camelot","Mythic Entertainment","Fantasy","Download","Free","Yes","US$14.95/month","October 10, 2001","August 28, 2014 (1.115c)"
"Dofus","Ankama Studio","Fantasy","Download","Free","No","US$7/month full access","August 23, 2004 
September 1, 2005","August 10, 2010 (2.0)"
"Dragonica","Barunson Interactive","Manga Fantasy Action","Download","Free","No","No","June 10, 2009","March 29, 2011 (Verdourus Forest 0.914.93)"
"Dragon Oath","Changyou.com","Fantasy","Download","Free","No","No","2007","2010"
"Dungeons & Dragons Online: Eberron Unlimited","Turbine","Fantasy","Download","Free","No","US$14.95 per month.","February 28, 2006","December 11, 2014 (Update 24)"
"Elder Scrolls Online","ZeniMax Online Studios","Medieval Fantasy","Download","$59.99","No","No","April 4, 2014","May 2, 2013"
"Eternal Lands","Eternal Lands","Medieval Fantasy","Download","Free","No","No","February 13, 2003","February 14, 2012 1.9.3"
