"Name","Organizing principle(s)","Outline bulleting with indent","Tabbed sections","Sync","PDF annotate and save","Whiteboard","Ink-pen input","Handwriting recognition","Spell check","Search","Printing","File save/export/import formats"
"AllMyNotes Organizer","Tree","?","?","?","?","?","?","?","Yes","Yes","?","?"
"BasKet Note Pads","Tree, tags","?","No","No","No","Yes","No","No","Yes","Yes","No","Rich text; export as HTML; import text files"
"CintaNotes","Notebooks, sections, tags","Yes","Yes","Yes","No","No","No","No","No","Yes","?","Proprietary; export to Unicode text, XML and HTML"
"Circus Ponies NoteBook","indexing","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Proprietary; export: html, opml, rtf, txt, doc, pdf"
"ConnectedText","Wiki, Tree and Categories","Yes","Yes","No","No","No","No","No","Yes","Yes","Yes","Proprietary (SQL); Export to text, XML, CHM and HTML. Import from text, HTML, XML and RTF"
"Day One","Chronological, tag","Yes","No","Yes","No","No","No","No","Yes","Yes","Yes","Markdown (in GUI), XML (data file); Export as: pdf, txt, md"
"DéjàClick","?","?","?","?","No","No","?","?","?","?","Yes","XML; notes may include rich text or HTML"
"Org-mode (Emacs)","tree, tags","Yes","Yes","Yes","Yes","No","No","No","Yes","Yes","Yes","LaTeX, HTML, DocBook, Taskjuggler, PDF, Freemind, XOXO, iCalendar"
"Evernote","tags, Notebooks, Stacks","Yes","No","Yes","Yes","No","Partial","Yes","Yes","Yes","Yes","Notes stored as XML; both free and paid versions allow notes of any file type"
"Gnote","Notebooks","?","No","Yes","Yes","No","?","?","Yes","Yes","Yes","NoteXmlFormat, HTML, PDF"
"Google Keep","Chronological (simple, short notes and lists)","No","No","Yes","No","No","No","?","Partial","Yes","No","Proprietary."
"Intellinote","tags, Workspaces, Workspace Groups","Yes","No","Yes","Yes","No","No","Yes","Yes","Yes","Yes","Notes stored as XML; both free and paid version allows notes of any file type"
"IPython Notebook","?","?","?","?","?","?","?","?","?","?","?","?"
"Jarnal","?","No","No","Yes","Yes","Yes","Partial","Yes","No","Yes","Yes","Zip compatible archive containing one SVG per page, config file, and optional background PDFs/images; can export to txt, html, jpg, pdf"
"KeyNote NF","Notebooks, notes and tree","Yes","Yes","No","No","No","No","No","Yes","Yes","Yes","Internal: combination of TXT and RTF; import/export: TXT, RTF, HTML, Treepad"
"Memonic","?","?","No","Yes","Yes","No","No","?","?","?","Yes","Notes stored as XML; can attach any filetype"
"Microsoft OneNote","Notebooks, sections, pages","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Open, XML, import from web pages and other applications"
"MyInfo","?","Yes","Yes","No","Yes","No","No","No","Yes","Yes","Yes","Proprietary, encrypted; import: plain text, RTF, CSV, MS Word, images, web pages; exports: plain text, HTML, RTF, CSV, MS Word"
"MyNotex","?","?","?","Yes","No","No","No","No","?","Yes","Yes","Sqlite based, zipped attachments; export to HTML; copying as LaTeX; import text files, OpenOffice.org documents"
"Notational Velocity","?","?","No","Yes","No","No","No","No","?","?","Yes","TXT, RTF"
"Notizen .NET","tree","?","No","No","No","No","No","No","?","Yes","No","TXT (ANSI/Unicode), RTF, ALX"
"Okular","?","?","?","No","Yes","No","No","No","?","?","Yes","PDF, PS, TIFF, CHM, DjVu, DVI, XPS, ODF, others; export PDF+notes for sending to other Okular users"
"Outline","Tree-structured notebooks, sections, pages","Yes","Yes","Yes","No","No","Yes","No","No","Yes","No","MS OneNote format, text, images, photos, tags"
"PDF Studio","?","?","?","?","Yes","No","?","?","?","?","Yes","PDF"
"Personal Knowbase","tag","?","?","?","No","No","?","?","?","?","Yes","Export to RTF, HTML, TXT, CSV"
"Qiqqa","tag, brainstorm","No","No","Yes","Yes","No","Yes","No","No","Yes","Yes","Proprietary, PDF, Brainstorm; export to RTF and Word"
"TiddlyWiki","tags (wikiwords)","?","Via plugin","Yes","Via plugin","No","?","?","?","Yes","Yes","HTML"
"Tomboy","?","Yes","?","Yes","No","No","No","No","Yes","Yes","Yes","NoteXmlFormat, HTML, PDF, wiki-formats"
"TreeDBNotes","tree","Yes","Yes","?","?","?","No","No","Yes","Yes","Yes","RTF, HTML, txt"
"WikidPad","tags (wikiwords)","?","No","No","No","No","No","No","?","?","Yes","HTML"
"Windows Journal","?","?","No","?","No","?","Yes","Yes","?","?","Yes","Proprietary"
"Xournal","?","No","No","No","Yes","No","Yes","No","No","No","Yes","XML; export to PDF"
"Zim","tags (wikiwords)","Yes","No","No","No","No","No","No","Yes","Yes","Yes, using installed web browser","Stored in modified DocuWiki Markdown; export: HTML, LaTeX, Pandoc Markdown, Sphinx RST (reStructuredText)"
"Name","Organizing principle(s)","Outline bulleting with indent","Tabbed sections","Sync","PDF annotate and save","Whiteboard","Ink-pen input","Handwriting recognition","Spell check","Search","Printing","File save/export/import formats"
