"Manager","Download Podcasts","Rebuild iPod Database","Portable","6th Gen. Firmware","5th Gen. nano Firmware","shuffle3G Firmware","iPod touch / iPhone support","Photo support","Supports Gapless Metadata"
"Amarok","Yes","Yes","?","Yes","?","No","Yes","?","?"
"Banshee","Yes","Yes","?","No","Yes","Yes","Yes","?","?"
"Clementine","Yes","No","?","No","No","?","Yes","?","?"
"EphPod","No","Yes","?","?","No","No","No","No","No"
"gtkpod","No","?","?","Yes","Yes","Yes","Yes, jailbroken only","?","Yes"
"iRip","Yes","?","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"iTunes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes"
"JRiver Media Center","Yes","?","?","?","?","?","?","?","?"
"MediaMonkey","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes"
"Rhythmbox","Yes","?","?","?","Yes","No","Yes","No","No"
"Senuti","No","?","?","?","?","?","Yes","?","?"
"Winamp native","Yes","?","?","?","?","?","?","?","Yes"
"XPlay","No","Yes","No","?","?","?","?","Yes","?"
"Manager","Download Podcasts","Rebuild iPod Database","Portable","6th Gen. Firmware","5th Gen. nano Firmware","shuffle3G Firmware","iPod touch / iPhone support","Photo support","Supports Gapless Metadata"
