"Date","Nation","Name","The firsts in Asia","World achievements"
"4 October 1957","USSR
(now under Kazakhstan)","Baikonur Cosmodrome","Satellite launch pad","The first satellite, Sputnik 1, was launched."
"11 February 1970","Japan","Osumi","Satellite","The smallest satellite launch vehicle (L-4S; 9.4t weight, 1.4m diameter)"
"24 February 1975","Japan","Taiyo","Solar probe",""
"26 October 1975","China","FSW-0","Satellite recovery",""
"26 October 1975","China","FSW-0: 
 – 10m (1975)
 FSW-1B: 
 – 4m (1992)
Beidou: 
 – 0.5m (till 2007)","High resolution imaging satellite",""
"8 July 1976","Indonesia","Palapa A1","Geosynchronous satellite (launched by NASA)",""
"23 February 1977","Japan","N-I","Geosynchronous launch",""
"21 February 1979","Japan","Hakucho","Space observatory",""
"23 July 1980","Vietnam","Phạm Tuân","Asian in space (Soyuz 37)",""
"20 September 1981","China","FB-1","Simultaneous satellite launch",""
"8 January 1985","Japan","Sakigake","Leaving Earth orbit","The first interplanetary launch by solid rocket (M-3SII)"
"19 March 1990","Japan","Hagoromo","Reach lunar orbit (assumed)",""
"7 April 1990","China","CZ-3","Commercial launch (AsiaSat 1)",""
"10 April 1993","Japan","Hiten","Intentional lunar impact","The first aerobraking test"
"8 July 1994","Japan","Chiaki Mukai","Asian woman in space (STS-65)",""
"19 November 1997","Japan","Takao Doi","Spacework (STS-87)",""
"28 November 1997","Japan","ETS-VII","Rendezvous docking",""
"3 July 1998","Japan","Nozomi","Martian mission (Failure)",""
"30 October 2000","China","Beidou","Satellite navigation system",""
"10 September 2002","Japan","Kodama","Data relay satellite (with ESA)",""
"15 October 2003","China","Yang Liwei","First man in space launched by an Asian space program",""
"15 October 2003","China","Shenzhou 5","Manned spacecraft",""
"19 November 2005","Japan","Hayabusa","Soft-landed probe on extraterrestrial object","The first asteroid ascent"
"11 January 2007","China","FY-1C","ASAT test","Highest in history with altitude 865 km, also the fastest with speed 18k miles"
"23 February 2008","Japan","WINDS","Internet satellite","The fastest internet satellite"
"11 March 2008","Japan","Japanese Experiment Module","Manned foundations in space (STS-123, STS-124, STS-127)","The world’s largest pressurized volume in space"
"25 April 2008","China","Tianlian I","Indigenous Tracking & Data Relay Satellite System 
First TDRS system to support manned missions",""
"27 September 2008","China","Zhai Zhigang (Shenzhou 7)","Indigenous EVA",""
"27 September 2008","China","BanXing","Manned spacecraft-launched satellite",""
"14 November 2008","India","Moon Impact Probe","Probe designed for Lunar impact","Discovered water on the Moon before impact."
"23 January 2009","Japan","GOSAT","Greenhouse gas explorer",""
"20 May 2010","Japan","Akatsuki","Venus mission (Failure)",""
"21 May 2010","Japan","IKAROS","Solar sail","The first spacecraft to successfully demonstrate solar-sail technology in interplanetary space"
"25 August 2011","China","Chang'e 2","Lunar probe with extended deep space missions (asteroid mission to 4179 Toutatis).","The first probe to reach Sun-Earth Lagrangian point from the lunar orbit and from there directly to an asteroid. Closest flyby of an asteroid at a distance of only 3.2 km."
"29 September 2011","China","Tiangong-1","Space station",""
"18 June 2012","China","Shenzhou 9","First manned space docking (with Tiangong-1)",""
"14 December 2013","China","Chang'e 3/Yutu","First lunar soft landing and lunar rover.",""
"24 September 2014","India","Mars Orbiter Mission","First successful Mars mission by an Asian country","First Martian mission by an individual country to succeed on the first attempt."
