"Distribution","Size of media (MB)","RAM use (MB)","Boots from CD","Boots from DVD","Installable live CD/DVD","Installable from USB"
"ALT Linux Desktop or Lite","700","","Yes","Yes","No",""
"Arch Linux","181 to 673","","Yes","Yes","Yes","Yes"
"AUSTRUMI Linux","280","","Yes","Yes","Yes","Yes"
"BLAG","?","?","?","?","?",""
"Bodhi Linux","500","80","Yes","Yes","Yes","Yes"
"CentOS","700 to 3,400 DVD","","Yes","Yes","Officially not supported","Yes"
"Chakra","1,600","","No","Yes","Yes","Yes"
"ClearOS","700","","Yes","","No",""
"CrunchBang Linux","873","256 to 1024","No","Yes","Yes","Yes"
"Damn Small Linux","50","16 to 24","Yes","Yes","Yes","Yes"
"Debian Live","50 to 5,120","","Yes","Yes","Yes","Yes"
"Dragora GNU/Linux-Libre","?","?","?","?","?","?"
"dyne:bolic","?","?","?","?","?","?"
"Elive","700","","Yes","Yes","",""
"Feather Linux","128","48 to 96","Yes","Yes","",""
"Fedora
live CD","683","256 to 1,024","Yes","Yes","Yes","Yes"
"Freespire","700","128 to 768","Yes","No","Yes",""
"Gentoo","100","up to 128","Yes","Yes","Yes","Yes"
"gNewSense","?","?","?","?","?","?"
"Grml","110 to 700","32 to 128","Yes","No","Yes","Yes"
"Inquisitor live CD","210","96","Yes","Yes","Yes",""
"Kali Linux","2,400","","Yes","Yes","Yes","Yes"
"Knoppix CD
edition","700","128 to 320","Yes","Yes","Only DVD edition is maintained",""
"Knoppix DVD
""Maxi"" edition","4,812.8","","No","Yes","",""
"LibreCMC/LibreWRT","?","?","?","?","?","?"
"Linux Mint","700","256 to 768","Yes","Yes","Yes","Yes"
"Mandriva Linux One","700","128 to 768","Yes","Yes","Yes","Yes"
"MEPIS","700 to 4,000","128 to 512","Yes","Yes","Yes","Yes"
"MCNLive","350","","Yes","Yes","",""
"Musix GNU+Linux","?","?","?","?","?","?"
"Nanolinux","≈14","≈64","Yes","Yes","Yes","Yes"
"Micro Core Linux","≈8","≈48","Yes","Yes","Yes","Yes"
"nUbuntu","265","","Yes","Yes","",""
"OpenELEC","80 to 180","80 to 512","No","No","No","Yes"
"openGEU","700","192 to 512","Yes","","Yes",""
"openSUSE","700","128 to 768","Yes","Yes","Yes","Yes"
"OpenWrt","min 4","min 16","No","No","No","No"
"Oralux","500","","Yes","Yes","No longer updated",""
"Parabola GNU/Linux-libre","?","?","?","?","?","?"
"Pardus","1,256 to 1,276","256 to 1,024","Yes","Yes","Yes","Yes"
"PCLinuxOS","130 to 700","96 to 512","Yes","Yes","Yes","Yes"
"Pentoo","666 and 700","48 to 96","Yes","Yes","By hand","By hand"
"Puppy Linux (standard edition)","128","32 to 192","Yes","Yes","Yes","Yes"
"Puredyne","542","","Yes","Yes","Yes","Yes"
"Sabayon Linux live CD","695","","Yes","Yes","Yes","Yes"
"Sabayon Linux live DVD","2,400","","No","Yes","Yes","Yes"
"Scientific Linux","431 to 2,300","640","Yes","Yes","Yes","Yes"
"Slax","200","96 to 320","Yes","Yes","","Yes"
"SystemRescueCD","160","","Yes","Yes","Yes","Yes"
"Tiny Core Linux","≈10","≈48","Yes","Yes","Yes","Yes"
"SliTaz GNU/Linux","35","24 to 192","Yes","Yes","Yes","Yes"
"Tails","≈900","≈1,024","No","Yes","Yes","Yes (when run from DVD)"
"Tiny SliTaz","1.44","≈8","Yes","Yes","By SliTaz","By SliTaz"
"Tor-ramdisk","5","256 or >","Yes","Yes","Yes","Yes"
"Trinity Rescue Kit","104","","Yes","Yes","",""
"Trisquel","1,500","384","Yes","Yes","Yes","Yes"
"Ubuntu","700","384","Yes","Yes","Yes","Yes"
"Ututo","?","?","?","?","?","?"
"Edubuntu","700","","Yes","Yes","Yes",""
"Kubuntu","900","384","Yes","Yes","Yes","Yes"
"XBMC Live","700","256 to 1,024","Yes","No","Yes","Yes"
"Zentyal","600","256","Yes","Yes","Yes","Yes"
"Xubuntu","700","256","Yes","Yes","Yes","Yes"
"Distribution","Size (MB)","RAM use (MB)","Boots from CD","Boots from DVD","Installable live CD/DVD","Installable from USB"
