"Language","Statement separator/terminator","Secondary separator"
"ABAP","period separated",""
"Ada","semicolon terminated",""
"ALGOL","semicolon separated",""
"ALGOL 68","semicolon and comma separated",""
"AppleScript","newline  terminated",""
"AutoHotkey","newline terminated",""
"BASIC","newline terminated","colon separated"
"Boo","newline  terminated",""
"C","semicolon terminates statements","comma separates expressions"
"C++","semicolon terminates statements","comma separates expressions"
"C#","semicolon terminated",""
"COBOL","whitespace separated, sometimes period separated, optionally separated with commas and semi-colons.",""
"Cobra","newline terminated",""
"D","semicolon terminated",""
"Eiffel","newline terminated","semicolon"
"Erlang","colon separated, period terminated",""
"Falcon","newline separated",""
"Fortran","newline terminated","semicolon"
"Forth","semicolons terminate word definitions",""
"GFA BASIC","newline terminated",""
"Go","semicolon separated (inserted by compiler)",""
"Haskell (in do-notation)","semicolon separated",""
"Haskell (in do-notation, when braces are omitted)","newline separated",""
"Java","semicolon terminated",""
"JavaScript","semicolon separated (but sometimes implicitly inserted on newlines)",""
"Lua","whitespace separated (semicolon optional)",""
"Mathematica","semicolon separated",""
"MATLAB","newline terminated","semicolon or comma"
"Object Pascal (Delphi)","semicolon separated",""
"Objective-C","semicolon terminated",""
"OCaml","semicolon separated",""
"Pascal","semicolon separated",""
"Perl","semicolon separated",""
"Perl 6","semicolon separated",""
"PHP","semicolon terminated",""
"Prolog","period  terminated",""
"Python","newline  terminated","semicolon"
"Ruby","newline  terminated","semicolon"
"Rust","semicolon terminates statements","comma separates expressions"
"Scala","newline terminated (semicolon optional)","semicolon"
"Seed7","semicolon separated (semicolon termination is allowed)",""
"Simula","semicolon separated",""
"S-Lang","semicolon separated",""
"Smalltalk","period separated",""
"Standard ML","semicolon separated",""
"Swift","semicolon separated (inserted by compiler)",""
"Visual Basic","newline terminated","colon separated"
"Visual Basic .NET","newline terminated","colon separated"
"Windows PowerShell","newline  terminated","semicolon separated"
"Xojo","newline terminated",""
"","",""
