"ADC client","FOSS","Software license","Active"
"AirDC++","Yes","GNU GPL","Yes"
"AirDC++ nano","Yes","GNU GPL","Yes"
"ApexDC++","Yes","GNU GPL","Yes"
"DC++","Yes","GNU GPL","Yes"
"jucy","Yes","BSD","Yes"
"LinuxDC++","Yes","GNU GPL","Yes"
"EiskaltDC++","Yes","GNU GPL","Yes"
"FlylinkDC++","Yes","GNU GPL","Yes"
"RSX++","Yes","GNU GPL","No"
"TkDC++","Yes","GNU GPL","No"
"StrongDC++","Yes","GNU GPL","No"
"RevConnect","Yes","GNU GPL","No"
"ncdc","Yes","MIT","Yes"
"ADC client","FOSS","Software license","Active"
