"Ad Servering Platform","Mobile ad serving","Video ad serving","Targeting databases","Creative types supported","Campaigns optimization","Reporting"
"Revive Adserver","Yes","Yes","Yes","Image, Text, Flash, HTML, XML, Video, Rich Media, HTML 5, Display ads, Email, Javascript, HTML 5, MP3 (plugin)","Requests, Impressions, Clicks, CTR, Rev, CPM, CPA, CPC, eCPM, conversion tracking","Various built in and 3rd party via plugins include Realtime statistics"
"AudienceLogy","Yes","Yes","Yes","Image, Flash, HTML, XML, 3rd-party, Linear video, Rich Media, HTML 5, display ads, Native Advertising","CPM, CPC, CPA, eCPM, conversion tracking, Fixed cost","Real Time, Dashboard, custom reports, report export, report subscription, notification alert, API"
"AdSparx","Yes","Yes","Yes","Image, Flash, HTML, XML, 3rd-party, Linear video, Rich Media, HTML 5, display ads, Native Advertising","CPM, CPC, CPA, eCPM, conversion tracking, Fixed cost","Real Time, Dashboard, custom reports, report export, report subscription, notification alert, API"
"24/7 Open AdStream","Yes","Yes","Yes","Image, Flash, HTML, XML, 3rd-party, Video (linear & non-linear), Rich Media, HTML 5, display ads, Native Advertising","CPM, CPC, CPA, eCPM, conversion tracking, Fixed cost","Real Time, Dashboard, custom reports, report export, report subscription, notification alert, API"
"Viewzd Ad Server","Yes","No","Yes","Image","CPM, CPC, Fixed Cost","Real time"
"AdButler","Yes","Yes","Yes","Image, Flash, HTML, XML, 3rd-party, Video (linear & non-linear), Rich Media, HTML 5, display ads, Native Advertising","CPM, CPC, CPA, eCPM, conversion tracking, Fixed cost","Real time"
"OpenX Ad Server","Yes","Yes","Yes","Image, Flash, HTML, HTML5, XML, 3rd-party, Rich Media, Video (linear & non-linear), etc., third party tags","CPM, CPC, CPA, CPD, Fixed Cost, conversion tracking","Real-time + dashboard, API available"
"DoubleClick","Yes","Yes","Yes","Image, Flash, rich media, and third-party tags. Automatic rich media macro detection. Small Business version could have some limitations.","CPM, CPC, CPA","Real-time"
"Adform","Yes","Yes","Yes","Image, Text, Flash, HTML5, Rich media, Synchronized ads, In-stream, Video, Mobile, AdPages, Keywords, Links, Third Party ads, Rotators, Native ads.","CPM, CPC, CPA, CPMV","Real Time, Quick stats, Analytics, Report subscription, Notification alerts, Custom Reports, Report exports, Raw data, Reporting API."
"Zedo","Yes","Yes","Yes","Standard Banner, HTML, Text, and javascript ads, Rich Media Ads, Flash","Automatic Optimization based on eCPM, CTR, Clicks or Impressions","Canned and custom reports"
"Right Media","Yes","Yes","n/a","Image, Flash, Rich Media, Video, HTML, Display Ads","Optimization based on eCPM, CPC, CPA.","Real-time"
"ADTECH","Yes","Yes","Yes","Image, Flash, HTML, XML, 3rd-party, Video (linear & non-linear), Rich Media, HTML 5, display ads","Automatic Optimization based on CPM, CPC, CPA, eCPM, also Fixed Cost, conversion tracking","Real time reporting + dashboard, Custom reports, report subscription, report export (xls, csv, pdf, html)"
"AdServer Solutions","Yes","Yes","Yes","Image, Flash, HTML, Javascript, XML, 3rd-party, Video (linear & non-linear), Rich Media, HTML 5, display ads, Native Advertising, Real Time Bidding","Automatic Optimization based on CPM, CPC, CPA, eCPM, also Fixed Cost, conversion tracking","Real time reporting + dashboard, API, Custom reports, report subscription, report export (xls, csv, pdf, html)"
"Adzerk","Yes","Yes, rich-media video only","Yes","Image, Flash, HTML, Javascript, XML, 3rd-party, Rich Media, HTML 5, display ads, Native Advertising","CPM, CPC, CPA, eCPM, conversion tracking, Fixed cost","Real Time, custom reports, report export, API"
"Cxense","Yes","Yes","Yes","Image, Flash, Rich Media, Video, 3rd-party, HTML, HTML 5, Display Ads","CPM, CPC, CPA","Updated every hour"
"Atlas Solutions","Yes","Yes","Yes","Image, Flash, Rich Media, Video, HTML, Display Ads","CPM, CPC, CPA","Real time"
"AppNexus","Yes","Yes","Yes","Image, Flash, Rich Media, Video, HTML, Display Ads","CPM, CPC, CPA","Updated every hour"
"Epom","Yes","Yes","Yes","Image, Flash, Video (linear & non-linear), HTML, Text ads, 3rd-party, Rich Media (free templates), HTML5, display ads","CTR, CPA optimization; eCPM Optimization; Auto-Weighing, based on eCPM, Manual Weighing","Real-time, dashboard, report auto-sending options, report export (xls, csv, pdf, html)"
"Mirago M3","Yes","Yes","Yes","Image, Flash, Rich Media, Video (linear and non-linear), Third Party, HTML, HTML5, XML, Display, Cost per Call","CPM, CPC, CPA, eCPM, Event Tracking","Real time, dashboard, API, custom report, export report, automated email report"
"Orbit Ad Server","Yes","Yes","Yes","Image, Text, TextLogo, Flash, HTML, XML, 3rd-party, Video (linear & non-linear), Rich Media, HTML 5, Javascript","CPM, CPC, CPA, Fixed cost, eCPM, conversion tracking","Various built-in reports, Real Time Dashboard, report export (xls, csv), report subscription, API"
