"Client","Author/Developer","Operating system","Software license","User Interface"
"AfterLogic WebMail Lite","afterlogic.org","Cross-platform","Affero General Public License","Webmail"
"Alpine","University of Washington","Cross-platform","Apache License 2.0","TUI"
"@Mail","Atmail.com","Linux","source available","webmail"
"Balsa","Stuart Parmenter","Linux","GNU General Public License","GUI (GTK+)"
"Becky! Internet Mail","Rimarts","Windows","Proprietary","GUI"
"BlitzMail","Dartmouth College","","BSD licenses","GUI"
"Citadel","citadel.org","Unix-like","GNU General Public License","Webmail"
"Claws Mail","the Claws Mail team","Cross-platform","GNU General Public License","GUI (GTK+)"
"Cone","Courier Mail Server developers","Unix-like","GNU General Public License","TUI"
"Courier (formerly Calypso)","Micro Computer Systems, Inc., continued by Rose City Software","Windows","Proprietary","GUI"
"Elm","Dave D. Taylor, Sydney Weinstein, Bill Pemberton, Michael Elkins, Kari Hurtta","Unix-like","Elm Mail System GPL","TUI"
"eM Client","eM Client Inc.","Windows","Proprietary","GUI"
"EmailTray","Internet Promotion Agency S.A.","Windows, Android","Proprietary","GUI"
"Eudora OSE","Qualcomm","Windows, OS X","Free","GUI"
"Eureka Email","Sean O'Connor","Windows","Proprietary","GUI"
"Evolution","The GNOME Project","Cross-platform","GNU General Public License","GUI (GTK+)"
"FirstClass","Open Text","","Proprietary","GUI"
"Forté Agent","Mark Sidell","Windows","Proprietary","GUI"
"GNUMail","Ludovic Marcotte and others","Unix-like, OS X","GNU General Public License","GUI"
"Gnus","Gnus team","Cross-platform","GNU General Public License","TUI and GUI"
"GroupWise","Novell","Cross-platform","Proprietary","GUI"
"i.Scribe, InScribe","Memecode","Windows, OS X, Linux","Proprietary","GUI"
"IBM Notes (formerly IBM Lotus Notes)","IBM Collaboration Solutions (formerly Lotus Software), IBM","Windows, Mac OS X, Linux","Proprietary","GUI (Notes), Web (iNotes) and Mobile (Traveler)"
"IMP","Horde LLC","Cross-platform","GNU General Public License","Webmail"
"Inky","Dave Baggett, Arcode Corporation","Windows, OS X,","Proprietary","GUI"
"KMail","KDE","Cross-platform","GNU General Public License","GUI (Qt)"
"Libremail","Bernard Chardonneau","Linux, UNIX, Unix-like","Free licence written by the author","TUI and shells"
"Mail (OS X)","Apple Inc.","Mac OS X and iOS","Proprietary","GUI"
"MailYouLike","KaleemSoft","Windows","Proprietary","Webmail"
"Mailbird","Mailbird","Windows","Proprietary","GUI"
"Mailpile","Mailpile","Linux, Windows, OS X","Affero General Public License and Apache License 2.0","webmail"
"mailx","?","Unix-like","?","TUI"
"Microsoft Entourage","Microsoft","Mac OS X","Proprietary","GUI"
"Microsoft Outlook","Microsoft","Windows, Mac OS X","Proprietary","GUI"
"Mozilla Mail & Newsgroups","Mozilla Foundation","","Mozilla Public License","GUI (XUL)"
"Mozilla Thunderbird","Mozilla Foundation","Cross-platform","Mozilla Public License","GUI (XUL)"
"Mulberry","Cyrus Daboo (formerly Cyrusoft International, Inc./ISAMET)","Cross-platform","Apache License 2.0","GUI"
"Mutt","Michael Elkins","Cross-platform","GNU General Public License","TUI (ncurses)"
"Netscape Messenger","Netscape Communications","","?","GUI"
"Netscape Messenger 9","Netscape Communications","","Mozilla Public License","GUI"
"nmh / MH","RAND Corporation","Unix-like","BSD Licenses","CLI"
"Opera Mail","Opera Software","Cross-platform","Proprietary","GUI"
"Outlook Express","Microsoft","Windows","Proprietary","GUI"
"Pegasus Mail","David Harris","Windows","Proprietary","GUI"
"Pine","University of Washington","Cross-platform","Pine License","TUI"
"Pocomail","Poco Systems","Windows","Proprietary","GUI"
"RoundCube","The RoundCube Team","Cross-platform","GNU General Public License","Webmail"
"SeaMonkey Mail & Newsgroups","SeaMonkey Council","Cross-platform","Mozilla Public License","GUI (XUL)"
"Spicebird","Synovel","Windows, Linux, BSD","Mozilla Public License","GUI (XUL)"
"SquirrelMail","The SquirrelMail Project Team","Cross-platform","GNU General Public License","Webmail"
"Sylpheed","Hiroyuki Yamamoto","Cross-platform","GNU General Public License","GUI (GTK+)"
"Telaen","The Telaen Team","Cross-platform","GNU General Public License","Webmail"
"The Bat!","RitLabs","Windows","Proprietary","GUI"
"Trojitá","KDE","Cross-platform","GNU General Public License","GUI (Qt)"
"Turnpike","Thus PLC (Demon Internet)","Windows","Proprietary","GUI"
"Wanderlust","?","Cross-Platform","GNU General Public License","TUI and GUI"
"Windows Live Mail","Microsoft","Windows","Proprietary","GUI"
"Windows Mail","Microsoft","Windows","Proprietary","GUI"
"WorldClient","Alt-N Technologies","Windows","Proprietary","GUI"
"YAM","YAM Open Source Team and contributing authors","AmigaOS","GNU General Public License","GUI"
"Zimbra","Zimbra","Cross-platform","Mozilla Public License for server and ZPL for client","GUI"
"Client","Author/Developer","Operating system","Software license","User interface"
