"Name","Platform","License","Windows builders","Java builders","Other builders","Notification","IDE Integration","Other Integration"
"AnthillPro","Cross-platform","Proprietary","MSBuild, NAnt, Visual Studio","Ant, Maven 1, 2, & 3","Shell script, Batch script, Cross-platform command-line, Groovy, Make, RTC Jazz, TFS Build, Custom Script Interpreter","E-mail, XMPP/Jabber, RSS, Systray","Eclipse, Visual Studio","(many)"
"Apache Continuum","JDK, Servlet Container","Apache 2.0","Unknown","Maven 1 & 2 & 3","Shell script","Mail, Jabber and Google Talk, MSN, IRC, report deployment with wagon","Unknown","Unknown"
"Apache Gump","Python","Apache 2.0","Unknown","Ant, Maven 1","Unknown","E-mail","Unknown","Unknown"
"AppVeyor CI","Hosted","Proprietary","Visual Studio, MSBuild, Psake","No","Custom Script, PowerShell","E-mail","No","GitHub, Bitbucket, Kiln, Windows Azure"
"AutoDE","Python","Proprietary","MSBuild, Visual Studio","Ant, Maven 1 & 2","Yes (Common Command-Line Builders)","E-mail","No","Unknown"
"Automated Build Studio","Windows","Proprietary","IncrediBuild, MSBuild, NAnt","Ant","Unknown","E-mail, Windows Messenger, MSN Messenger, Windows Live Messenger, ICQ","Visual Studio","Unknown"
"Bamboo","Servlet Container","Proprietary","MSBuild, NAnt, Visual Studio","Ant, Maven 1, Maven 2, Maven 3","Custom Script, Command-Line Tool, Bash, Xcode, Phing","XMPP, Google Talk, E-mail, RSS, Remote API","IntelliJ IDEA, Eclipse, Visual Studio","FishEye, Crowd, JIRA, Clover"
"BuildBot","Python","GPL","Yes (command line)","Yes (command line)","Yes (command line)","E-mail, Web, GUI, IRC","Unknown","Unknown"
"Build Forge","Cross-platform","Proprietary","Yes","Yes","Cross-platform command-line","E-mail","Eclipse","Java API, Perl API, command line, (many)"
"BuildMaster","Cross-platform","Proprietary","Yes","Yes","Cross-platform command-line","E-mail, Custom","No","Many"
"CABIE","LAMP","GPL2","Unknown","Unknown","Unknown","Web","Unknown","Unknown"
"CircleCI","Hosted","Proprietary","No","Unknown","Ruby, Python, NodeJS, PHP, Java","E-mail, Campfire, HipChat, CCtray","Unknown","Heroku, GitHub"
"node.ci","Hosted","Proprietary","Unknown","Unknown","NodeJS","E-mail","Unknown","AWS, GitHub, Bitbucket"
"Codeship","Hosted","Proprietary","No","Maven","Go, Java, NodeJS, PHP, Python, Ruby","E-mail, Flowdock, Grove, HipChat, Web","No","CloudControl, Engine Yard, GitHub, Heroku"
"Continua CI","Windows","Proprietary","Ant, Nant, FinalBuilder, MSBuild, Rake, Visual Studio, Powershell","Ant","Execute Program(command line)","E-mail, XMPP","No","GitHub, Bitbucket, Codeplex, Kiln, TFS, FogBugz, Jira, NCover, Opencover, NUnit, DUnitX, jUnit, xUnit, NuGet, 7Zip"
"continuousphp","Hosted","Proprietary","No","No","PHP","E-mail","No","Bitbucket, GitHub, Stash, Zend Server"
"CruiseControl","Cross-platform","BSD-style","NAnt,  Rake, and Xcode","Phing, Apache Ant, Maven","catch-all 'exec'","E-mail, CCTray","Eclipse","Unknown"
