"Driver","Chipset","Integration","Free firmware","License","Original/Primary developer","Development","Free software"
"acx","Texas Instruments ACX100/ACX111","Integrated","No","BSD","Ported from DragonFlyBSD","Reverse engineering","Yes"
"an","Aironet 4500/4800, Cisco Aironet 340/350","Integrated","N/A","BSD","","","Yes"
"ath","Atheros AR5210/ AR5211/ AR5212","Integrated","N/A","BSD","","Reverse engineering","Yes"
"athn","Atheros AR5416/AR9160/AR928X","Integrated (since 4.7)","No","BSD","Damien Bergamini","Partly based on the ath9k driver for Linux","Yes"
"atu","Atmel AT76C503/ AT76C503A/ AT76C505/ AT76C505A","Integrated","Yes","BSD","","Reverse engineering","Yes"
"atw","ADMtek ADM8211","Integrated","N/A","BSD","","Documentation based","Yes"
"awi","BayStack 650","2.7 to 4.3","N/A","BSD","","","Yes"
"bwi","Broadcom BCM430x/4318","Integrated","No","BSD","Sepherosa Ziehau","Ported from DragonFly BSD","Yes"
"cnw","NetWave AirSurfer","Integrated","N/A","BSD","","","Yes"
"ipw","Intel PRO/Wireless 2100","Integrated","No","BSD","Damien Bergamini","Reverse engineering","Yes"
"iwi","Intel PRO/Wireless 2200BG/ 2225BG/ 2915ABG","Integrated","No","BSD","Damien Bergamini","Reverse engineering","Yes"
"iwn","Intel Wireless WiFi Link 4965/ 5000/ 1000/ 6000","Integrated","No","BSD","Damien Bergamini","Reverse engineering","Yes"
"malo","Marvell 88W8335/ 88W8310","Integrated","No","BSD","Marcus Glocker and Claudio Jeker","Reverse engineering","Yes"
"otus","Atheros AR9170","Integrated (since 4.6)","No","BSD","Damien Bergamini","Based on source code released by Atheros for Linux under the ISC","Yes"
"pgt","Conexant/Intersil Prism GT Full-MAC ISL3877, ISL3880, and ISL3890 chips","Integrated","No","BSD","Ported from FreeBSD","Reverse engineering","Yes"
"ral/ural","Ralink RT2500, RT2501, RT2600, RT2700, and RT2800 (ral), RT2500USB (ural)","Integrated","Yes","BSD","Damien Bergamini","Documentation based","Yes"
"ray","Raytheon Raylink/WebGear Aviator IEEE 802.11FH","2.7 to 5.4","N/A","BSD","","","Yes"
"rsu","Realtek RTL8188SU/RTL8191SU/RTL8192SU","Integrated (since 4.9)","No","BSD","Damien Bergamini","Reverse engineering","Yes"
"rtw","Realtek RTL8180L","Integrated","N/A","BSD","Ported from NetBSD","Documentation based","Yes"
"rum","Ralink RT2501USB/ RT2601USB","Integrated","Yes","BSD","Niall O'Higgins and Damien Bergamini","Documentation based","Yes"
"run","Ralink RT2700U/ RT2800U/ RT3000U","Integrated","Yes","BSD","Damien Bergamini","Documentation based","Yes"
"uath","Atheros AR5005UG/ AR5005UX","Integrated","No","BSD","Damien Bergamini","Reverse Engineering","Yes"
"upgt","GW3887 (Conexant/Intersil PrismGT series)","Integrated","No","BSD","Marcus Glocker","Reverse engineering","Yes"
"urtw","Realtek RTL8187L","Integrated","N/A","BSD","Weongyo Jeong (FreeBSD)","?","Yes"
"urtwn","Realtek RTL8188CU/RTL8192CU","Integrated (since 4.9)","No","BSD","Damien Bergamini","Reverse engineering","Yes"
"wi","Lucent Hermes (WaveLAN/ ORiNOCO); Intersil PRISM-2, PRISM-2.5, PRISM-3; Symbol Spectrum24","Integrated","Yes for Spectrum24 and N/A for others","BSD","Bill Paul","Documentation based","Yes"
"wpi","Intel PRO/Wireless 3945ABG","Integrated","No","BSD","Damien Bergamini","Reverse engineering","Yes"
"zyd","ZyDAS ZD1211/ZD1211B","Integrated","Yes","BSD","Florian Stoehr, Damien Bergamini and Jonathan Gray","Documentation based","Yes"
