"Implementation","HMAC-MD5","HMAC-SHA1","HMAC-SHA256/384","AEAD","GOST 28147-89 IMIT","GOST R 34.11-94"
"Botan","Yes","Yes","Yes","Yes","Yes","Yes"
"cryptlib","Yes","Yes","Yes","Yes","No","No"
"GnuTLS","Yes","Yes","Yes","Yes","No","No"
"JSSE","Yes","Yes","Yes","Yes","No","No"
"LibreSSL","Yes","Yes","Yes","Yes","Yes","Yes"
"MatrixSSL","Yes","Yes","Yes","Yes","No","No"
"mbed TLS","Yes","Yes","Yes","Yes","No","No"
"NSS","Yes","Yes","Yes","Yes","No","No"
"OpenSSL","Yes","Yes","Yes","Yes","Yes","Yes"
"RSA BSAFE","Yes","Yes","Yes","Yes","No","No"
"SChannel XP/2003, Vista/2008","Yes","Yes","XP SP3, 2003 SP2 via hotfix","No","No","No"
"SChannel 7/2008R2, 8/2012, 8.1/2012R2","Yes","Yes","Yes","except ECDHE_RSA","No","No"
"SChannel 10 Technical Preview","Yes","Yes","Yes","Yes","No","No"
"Secure Transport","Yes","Yes","Yes","No","No","No"
"SharkSSL","Yes","Yes","Yes","Yes","No","No"
"wolfSSL","Yes","Yes","Yes","Yes","No","No"
"Implementation","HMAC-MD5","HMAC-SHA1","HMAC-SHA256/384","AEAD","GOST 28147-89 IMIT","GOST R 34.11-94"
