"OLAP Server","Windows","Linux","UNIX","z/OS"
"Essbase","Yes","Yes","Yes","No"
"icCube","Yes","Yes","Yes","Yes"
"Infor BI OLAP Server","Yes","No","No","No"
"Jedox OLAP Server","Yes","Yes","Yes","No"
"Microsoft Analysis Services","Yes","No","No","No"
"MicroStrategy Intelligence Server","Yes","Yes","Yes","No"
"Mondrian OLAP server","Yes","Yes","Yes","Yes"
"Oracle Database OLAP Option","Yes","Yes","Yes","Yes"
"SAS OLAP Server","Yes","Yes","Yes","Yes"
"SAP NetWeaver BW","Yes","Yes","Yes","Yes"
"TM1","Yes","Yes","Yes","No"
"Cubes","Yes","Yes","Yes","No"
