"ADC client","Windows","Linux","OS X","BSD","Haiku"
"AirDC++","Yes","No","No","No","No"
"AirDC++ nano","No","Yes","Yes","?","?"
"ApexDC++","Yes","No","No","No","No"
"DC++","Yes","No","No","No","No"
"jucy","Yes","Yes","Yes","No","No"
"LinuxDC++","No","Yes","No","Yes","No"
"EiskaltDC++","Yes","Yes","Yes","Yes","Yes"
"FlylinkDC++","Yes","No","No","No","No"
"RSX++","Yes","No","No","No","No"
"TKDC++","Yes","No","No","No","No"
"StrongDC++","Yes","No","No","No","No"
"ncdc","No","Yes","Yes","Yes","?"
"ADC client","Windows","Linux","OS X","BSD","Haiku"
