"Implementation","Secure Renegotiation","Server Name Indication","ALPN","Certificate Status Request","OpenPGP","Supplemental Data","Session Ticket","Keying Material Exporter","Maximum Fragment Length","Truncated HMAC","Encrypt-then-MAC","TLS Fallback SCSV","Extended Master Secret","TLS Padding"
"Botan","Yes","Yes","No","No","No","No","Yes","Yes","Yes","No","No","Yes","No","No"
"cryptlib","Yes","Yes","No","No","No","Yes","No","No","No","No","No","No","No","No"
"GnuTLS","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","Yes","No"
"JSSE","Yes","Yes","Unknown","No","No","No","No","No","No","No","No","No","No","No"
"LibreSSL","Yes","Yes","Yes","Yes","No","No?","Yes","Yes?","No","No","No","Server side only","No","Yes"
"MatrixSSL","Yes","Yes","Yes","No","No","No","Yes","No","Yes","Yes","No","No","No","No"
"mbed TLS","Yes","Yes","Yes","No","No","No","Yes","No","Yes","Yes","Yes","Yes","Yes","No"
"NSS","Yes","Yes","Yes","Yes","No","No","Yes","Yes","No","No","No","Yes","No","Yes"
"OpenSSL","Yes","Yes","Yes","Yes","No","No?","Yes","Yes?","No","No","No","Yes","No","Yes"
"RSA BSAFE MES","Yes","Yes","No","Yes","No","No","Yes","No","Yes","Yes","No","No","No","No"
"RSA BSAFE SSL-J","Yes","Yes","No","No","No","No","No","No","Yes","Yes","No","No","No","No"
"SChannel XP/2003","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No"
"SChannel Vista/2008","Yes","Yes","No","No","No","Yes","No","No","No","No","No","No","No","No"
"SChannel 7/2008R2","Yes","Yes","No","Yes","No","Yes","No","No","No","No","No","No","No","No"
"SChannel 8/2012","Yes","Yes","No","Yes","No","Yes","Client side only","No","No","No","No","No","No","No"
"SChannel 8.1/2012R2, 10 Technical Preview","Yes","Yes","Yes","Yes","No","Yes","Yes","No","No","No","No","No","No","No"
"Secure Transport","Yes","Yes","Unknown","No","No","Yes","No","No","No","No","No","No","No","No"
"SharkSSL","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No"
"wolfSSL","Yes","Yes","No","No","No","No","Yes","No","Yes","Yes","No","No","No","No"
"Implementation","Secure Renegotiation","Server Name Indication","ALPN","Certificate Status Request","OpenPGP","Supplemental Data","Session Ticket","Keying Material Exporter","Maximum Fragment Length","Truncated HMAC","Encrypt-then-MAC","TLS Fallback SCSV","Extended Master Secret","TLS Padding"
