"Name","Filename casing","CRC","Filedate","Daylight saving","Character casing"
"Araxis Merge","","Yes","Yes","","Yes"
"Beyond Compare","Yes","Yes","Yes","Yes","Yes"
"Compare++","Yes","Yes","Yes","","Yes"
"diff","Yes","No","No","No","Optional"
"diff3","","","","",""
"SG DiffMerge","","","","",""
"Diffuse","","","","","Optional"
"DiffTool","No","Yes","Yes","","Yes"
"Eclipse (compare)","","","","",""
"Ediff","","","","",""
"ExamDiff Pro","No","Yes","Yes","Yes","Yes"
"Far Manager (compare)","Yes","No","Yes","No","Yes"
"fc","No","","","","Optional"
"FileMerge","No","No","No","","Optional"
"Guiffy SureMerge","filesystem dependent","","Yes","","Yes"
"IntelliJ IDEA (compare)","","","","",""
"jEdit JDiff plugin","","","","",""
"KDiff3","","","","","Optional"
"Kompare","Yes","","","",""
"Lazarus Diff","","","","",""
"Meld","","","","",""
"Notepad++ (compare)","No","No","No","","Yes"
"Perforce P4Merge","N/A","No","No","No","Yes"
"Pretty Diff","N/A","No","No","No","Optional"
"Tkdiff","","","","",""
"Total Commander (compare)","","","Optional","Yes (in synchronize only)","Optional"
"vimdiff","No","No","No","No","Yes"
"WinDiff","No","No","when different","Yes","Optional"
"WinMerge","No","No","Optional","","Optional"
"UCC","No","No","Yes","No",""
"","","","","",""
