"Client","CHAT","Whiteboard","SEND","RESUME","TSEND","SEND T","XMIT","Passive DCC","Server","RDCC","REVERSE","RSEND","Reverse / Firewall DCC","File servers (FSERVs)","XDCC","VOICE"
"AdiIRC","Yes","?","Yes","Yes","?","?","?","?","No","Yes","?","?","?","?","Yes","?"
"AmIRC","Yes","No","Yes","Yes","Yes","No","No","Yes","No","No","No","No","Yes","No","?","?"
"Bersirc","?","?","?","?","?","?","?","No","No","?","?","?","?","?","?","?"
"BitchX","Yes","No","Yes","Yes","Yes","Yes","?","No","No","?","?","?","?","?","Yes","?"
"ChatZilla","Yes","No","Yes","No","?","?","No","No","No","No","No","No","No","No","?","?"
"Colloquy","Yes","?","Yes","Yes","?","?","?","Yes","No","?","?","?","?","?","Yes","?"
"Convos","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"DMDirc","Yes","No","Yes","Yes","?","?","No","Yes","No","No","No","No","Yes","No","No","?"
"ERC","Yes","?","Yes","?","?","?","?","?","?","?","?","?","?","?","?","?"
"f-irc","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","?"
"HexChat","Yes","No","Yes","Yes","?","?","?","Yes","?","?","?","?","?","?","Yes","?"
"HydraIRC","Yes","No","Yes","Yes","?","?","No","?","?","?","?","?","?","No","No","?"
"IceChat","Yes","No","Yes","?","?","?","No","?","?","?","?","?","?","No","No","?"
"ii (IRC IT)","?","?","?","?","?","?","?","No","No","?","?","?","?","?","?","?"
"ircII","?","?","?","?","?","?","?","No","No","?","?","?","?","?","?","?"
"IRCjr","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","?"
"Ircle","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"Irssi","Yes","?","Yes","Yes","?","?","?","Yes","Yes","?","?","?","?","?","?","?"
"KiwiIRC","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","?"
"Konversation","Yes","Yes","Yes","Yes","?","?","?","Yes","No","?","?","?","Yes","?","?","?"
"KVIrc","Yes","No","Yes","Yes","Yes","No","No","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes"
"LeetIRC","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","?"
"LimeChat","?","?","?","?","?","?","?","Yes","Yes","?","?","?","?","?","?","?"
"Lingo","Yes","No","Yes","No","No","No","No","No","No","No","No","No","No","No","Yes","?"
"Linkinus","?","?","?","?","?","?","?","Yes","No","?","?","?","?","?","?","?"
"Mibbit","No","?","?","?","?","?","?","No","No","?","?","?","?","?","?","?"
"mIRC","Yes","?","Yes","Yes","?","?","?","Yes","Yes","Yes","?","?","Yes","Yes","Yes","?"
"Neebly","?","?","Yes","?","?","?","?","No","No","?","?","?","?","?","?","?"
"Nettalk","Yes","No","Yes","Yes","No","No","No","No","Partial","No","No","No","No","?","?","?"
"Opera","No","?","?","?","?","?","?","Yes","No","?","?","?","?","?","?","?"
"PIRCH","Yes","No","Yes","Yes","?","?","No","No","No","No","No","No","No","No","No","?"
"PJIRC","Yes","No","Yes","Yes","?","?","?","?","?","?","?","?","?","?","?","?"
"Quassel","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","?"
"qwebirc","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","?"
"rcirc","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","?"
"Smuxi","?","?","?","?","?","?","?","No","No","?","?","?","?","?","?","?"
"Snak","Yes","?","Yes","Yes","?","Yes","?","No","No","?","?","?","?","?","?","?"
"Textual","No","No","Yes","No","No","No","No","No","No","No","No","No","Yes","No","No","No"
"Visual IRC","?","Yes","?","Yes","?","?","?","Yes","No","?","?","?","Yes","?","?","Yes"
"WeeChat","Yes","?","Yes","?","?","?","?","Yes","No","?","?","?","?","?","Yes","?"
"XChat","Yes","?","Yes","Yes","No","No","?","Yes","Yes","?","?","?","Yes","?","Yes","?"
"Client","CHAT","Whiteboard","SEND","RESUME","TSEND","SEND T","XMIT","Passive DCC","Server","RDCC","REVERSE","RSEND","Reverse / Firewall DCC","File servers (FSERVs)","XDCC","VOICE"
