"Name","Website","Parsing algorithm","Input grammar notation","Output languages","Grammar, code","Lexer","Development platform","IDE","License"
"ACCENT","","Earley","?","C","mixed","external","all","No","GNU GPL"
"APaGeD","","GLR, LALR(1), LL(k)","?","D","mixed","generated","all","No","Artistic"
"Bison","","LALR(1), LR(1), IELR(1), GLR","YACC","C, C++, Java","mixed","external","all","No","GNU GPL"
"DMS Software Reengineering Toolkit","","GLR","?","Parlanse","mixed","generated","Microsoft Windows","No","Proprietary"
"DParser","","Scannerless GLR","?","C","mixed","scannerless","POSIX","No","BSD"
"Dypgen","","runtime-extensible GLR","?","OCaml","mixed","generated","all","No","CeCILL-B"
"E3","","Earley","?","OCaml","mixed","external, or scannerless","all","No","?"
"Elkhound","","GLR","?","C++, OCaml","mixed","external","all","No","BSD"
"eu.h8me.Parsing","","GLR","?","N/A (state machine is runtime generated)","separate","external",".NET Framework","No","BSD"
"GDK","","LALR(1), GLR","?","C, Lex, Haskell, HTML, Java, Object Pascal, Yacc","mixed","generated","POSIX","No","MIT"
"Happy","","LALR, GLR","?","Haskell","mixed","external","all","No","BSD"
"Hime Parser Generator","","GLR","?","C#","separate","generated",".NET Framework","No","GNU LGPL"
"IronText Library","","LALR(1), GLR","C#","C#","mixed","generated or external",".NET Framework","No","Apache License 2.0"
"Jison","","LALR(1), LR(0), SLR(1)","YACC","JavaScript, C#, PHP","mixed","generated","all","No","MIT"
"Laja","","Scannerless, two phase","Laja","Java","separate","scannerless","all","No","GNU GPL"
"ModelCC","","Earley","Annotated class model","Java","generated","generated","all","No","BSD"
"P1","","Combinators","BNF-like","OCaml","mixed","external, or scannerless","all","No","?"
"P3","","Earley/combinators","BNF-like","OCaml","mixed","external, or scannerless","all","No","?"
"P4","","Earley/combinators, infinitary CFGs","BNF-like","OCaml","mixed","external, or scannerless","all","No","?"
"Scannerless Boolean Parser","","Scannerless GLR (Boolean grammar)","?","Haskell, Java","separate","scannerless","Java Virtual Machine","No","BSD"
"SDF/SGLR","","Scannerless GLR","SDF","C, Java","separate","scannerless","all","Yes","BSD"
"SmaCC","","GLR(1), LALR(1), LR(1)","?","Smalltalk","mixed","internal","all","Yes","MIT"
"SPARK","","Earley","?","Python","mixed","external","all","No","MIT"
"Tom","","GLR","?","C","generated","none","all","No","""No licensing or copyright restrictions"""
"UltraGram","","LALR, LR, GLR","?","C++, C#, Java, Visual Basic .NET","separate","generated","Microsoft Windows","Yes","Proprietary"
"Wormhole","","Pruning, LR, GLR, Scannerless GLR","?","C, Python","mixed","scannerless","Microsoft Windows","No","MIT"
"Whale Calf","","General tabular, SLL(k), Linear normal form (Conjunctive grammar), LR, Binary normal form (Boolean grammar)","?","C++","separate","external","all","No","Proprietary"
