"Model","Launch","Code name","Fab (nm)","Transistors (Million)","Die Size (mm)","Die Count","Bus interface","Memory (MB)","Core config","Clock rate","Clock rate","Clock rate","Fillrate","Fillrate","Memory Configuration","Memory Configuration","Memory Configuration","API support (version)","API support (version)","Processing Power GFLOPS","TDP (watts)","GFLOPS/W","Comments"
"Model","Launch","Code name","Fab (nm)","Transistors (Million)","Die Size (mm)","Die Count","Bus interface","Memory (MB)","Core config","Core (MHz)","Shader (MHz)","Memory (MHz)","Pixel (GP/s)","Texture (GT/s)","Bandwidth (GB/s)","DRAM type","Bus width (bit)","DirectX","OpenGL","Processing Power GFLOPS","TDP (watts)","GFLOPS/W","Comments"
"GeForce 205","November 26, 2009","GT218","40","260","57","1","PCIe 2.0 x16","512","8:4:4","589","1402","1000","2.356","2.356","8","DDR2","64","10.1","3.3","33.4","30.5","1.06","OEM only"
"GeForce 210","October 12, 2009","GT218-325-B1","40","260","57","1","PCIe 2.0 x16
PCIe x1
PCI","512
1024","16:8:4","520
589","1230
1402","1000–1600","2.356","4.712","4.0
8.0
12.8","DDR2
DDR3","32
64","10.1","3.3","67.296","30.5","2.21",""
"GeForce GT 220","October 12, 2009","GT216","40","486","100","1","PCIe 2.0 x16","512
1024","48:16:8","615(OEM)
625","1335(OEM)
1360","1000
1580","5","10","16.0
25.3","DDR2
DDR3","128","10.1","3.3","192(OEM)
196","58","3.31(OEM)
3.38",""
"GeForce GT 230 v.1","2009","G94b","55","505","196?","1","PCIe 2.0 x16","512
1024","48:24:16","650","1625","1800","10.4","15.6","57.6","GDDR3","256","10","3.3","234","75","3.12","OEM only"
"GeForce GT 230 v.2","2009","G92b","55","754","260","1","PCIe 2.0 x16","1536","96:48:12","500","1242","1000","6","24","24","DDR2","192","10","3.3","357.69","75","4.77","OEM only"
"GeForce GT 240","November 17, 2009","GT215","40","727","139","1","PCIe 2.0 x16","512
1024","96:32:8","550","1340","1800
2000
3400(GDDR5)","4.4","17.6","28.8(OEM)
32
54.4(GDDR5)","DDR3
GDDR3
GDDR5","128","10.1","3.3","385.9","69","5.59",""
"GeForce GTS 240","Q4 2009","G92a
G92b","65
55","754","324
260","1","PCIe 2.0 x16","1024","112:56:16","675","1620","2200","10.8","37.8","70.4","GDDR3","256","10.0","3.3","554.32","120","4.62","OEM only"
"GeForce GTS 250 Green","2009","G92b","65
55","754","260","1","PCIe 2.0 x16","512
1024","128:64:16","702","1512","2000","11.2","44.9","64.0","GDDR3","256","10.0","3.3","581","130","4.47",""
"GeForce GTS 250","March 3, 2009","G92-428-B1","65
55","754","260","1","PCIe 2.0 x16","512
1024","128:64:16","738","1836","2000
2200","11.808","47.232","64.0
70.4","GDDR3","256","10.0","3.3","705.024","150","4.86","Some cards are rebranded GeForce 9800 GTX+"
"GeForce GTX 260","June 16, 2008","GT200-100-A2","65","1400","576","1","PCIe 2.0 x16","896","192:64:28","576","1242","1998","16.128","36.864","111.9","GDDR3","448","10.0","3.3","715.392","202","3.54","Replaced by GTX 260 Core 216"
"GeForce GTX 260 Core 216","September 16, 2008","GT200-103-A2
GT200-105-B3","65
55","1400","576
470","1","PCIe 2.0 x16","896 (1792)","216:72:28","576","1242","1998","16.128","41.472","111.9","GDDR3","448","10.0","3.3","804.816
874.8","182
171","4.42
4.71",""
"GeForce GTX 275","April 9, 2009","GT200-400-B3","55","1400","470","1","PCIe 2.0 x16","896","240:80:28","633","1404","2268","17.724","50.6","127.0","GDDR3","448","10.0","3.3","1010.880","219","4.62","Effectively one-half of the GTX 295"
"GeForce GTX 280","June 17, 2008","GT200-300-A2","65","1400","576","1","PCIe 2.0 x16","1024","240:80:32","602","1296","2214","19.264","48.16","141.7","GDDR3","512","10.0","3.3","933.120","236","3.95","Replaced by GTX 285"
"GeForce GTX 285","January 15, 2009","GT200-350-B3","55","1400","470","1","PCIe 2.0 x16","1024 (2048*)","240:80:32","648","1476","2484","20.736","51.84","159.0","GDDR3","512","10.0","3.3","1062.72","204","5.24","Palit and EVGA launched 2GB versions. EVGA GTX285 Classified can support 4-way SLI"
"GeForce GTX 295","January 8, 2009","GT200-400-B3","55","2x 1400","2x 470","2","PCIe 2.0 x16","2x 896","2x 240:80:28","576","1242","1998","2x 16.128","2x 46.08","2x 111.9","GDDR3","2x 448","10.0","3.3","1788.480","289","6.19","Dual PCB models were phased out in favor of a single PCB model with 2 GPUs"
"Model","Launch","Code name","Fab (nm)","Transistors (Million)","Die Size (mm)","Die Count","Bus interface","Memory (MB)","Core config","Core (MHz)","Shader (MHz)","Memory (MHz)","Pixel (GP/s)","Texture (GT/s)","Bandwidth (GB/s)","DRAM type","Bus width (bit)","DirectX","OpenGL","GFLOPS (MADD+MUL)","TDP (Watts)","GFLOPS/W","Comments"
"Model","Launch","Code name","Fab (nm)","Transistors (Million)","Die Size (mm)","Die Count","Bus interface","Memory (MB)","Core config","Clock rate","Clock rate","Clock rate","Fillrate","Fillrate","Memory Configuration","Memory Configuration","Memory Configuration","API support (version)","API support (version)","GFLOPS (MADD+MUL)","TDP (Watts)","GFLOPS/W","Comments"
