"Model","Code name","Fab (nm)","Bus interface","Memory (MB)","Core clock (MHz)","Shader clock (MHz)","Memory clock (MHz)","Core config","Fillrate","Fillrate","Memory","Memory","Memory","Processing Power
GFLOPS","Processing Power
GFLOPS","API support (version)","API support (version)","TDP (watts)","Notes"
"Model","Code name","Fab (nm)","Bus interface","Memory (MB)","Core clock (MHz)","Shader clock (MHz)","Memory clock (MHz)","Core config","Pixel (GP/s)","Texture (GT/s)","Bandwidth (GB/s)","Bus type","Bus width (bit)","Single Precision","Double Precision","DirectX","OpenGL","TDP (watts)","Notes"
"Quadro FX 370","G84","80","PCIe x16","256","360","720","1000","16:8:4","1.44","2.88","6.4","DDR2","64","34.56","-","10.0","3.3","35",""
"Quadro FX 370 LP","G86","80","PCIe x16","256","540","1080","1000","8:8:4","2.16","4.32","8","DDR2","64","25.92","-","10.0","3.3","25","DMS-59 for two Single Link DVI"
"Quadro FX 470","MCP7A-U","65","PCIe 2.0 x16
(Integrated)","Up to 256MB from system memory.","580","1400","800
(system memory)","16:8:4","2.32","4.64","12.8","DDR2","128","67.2","-","10.0","3.3","30","based on GeForce 9400 mGPU"
"Quadro FX 570","G84GL","80","PCIe x16","256","460","920","800","16:8:8","3.68","3.68","12.8","DDR2","128","44.1","-","10.0","3.3","38",""
"Quadro FX 1700","G84GL","80","PCIe x16","512","460","920","800","32:16:8","3.68","7.36","12.8","DDR2","128","88.32","-","10.0","3.3","42",""
"Quadro FX 3700","G92","65","PCIe 2.0 x16","512","500","1250","1600","112:56:16","8","28","51.2","GDDR3","256","420","-","10.0","3.3","78","Stereo display, SLI"
"Quadro FX 4700X2","2xG92","65","PCIe 2.0 x16","2x1024","500","1250","1600","2x(128:64:16)","2x8","2x32","2x51.2","GDDR3","2x256","2x480","-","10.0","3.3","226",""
"Quadro VX 200","G92","65","PCIe 2.0 x16","512","450","1125","1600","112:56:16","8","28","51.2","GDDR3","256","420","-","10","3.3","75","2× Dual-link DVI, S-Video, optimised for Autodesk AutoCAD"
