"BitTorrent client","Magnet URI","Preload Magnet metadata","Super-seeding","Embedded tracker","UPnP","NAT Port Mapping Protocol","NAT traversal","DHT","Peer exchange","Encryption","UDP tracker","LPD","Proxy server"
"ABC","No","No","No","Yes","Yes","No","No","No","No","No","No","No","No"
"Acquisition","No","No","No","No","No","Yes","No","No","No","No","No","No","No"
"BitComet","Yes","No","Yes","Separate download","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","HTTP 1.1, SOCKS4-4a-5"
"BitLet","No","No","No","No","Yes","No","No","No","No","No","No","No","No"
"BitLord","Yes","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","HTTP 1.1, SOCKS4-4a-5"
"BitTornado","No","No","Yes","Yes","Yes","No","No","No","No","Yes","No","No","No"
"BitTorrent 5, Mainline","No","No","No","Yes","Yes","Yes","No","Yes","Yes","Yes","No","No","Yes"
"BitTorrent 6","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","HTTP(S), SOCKS4-5"
"BitTyrant","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No"
"Blog Torrent","No","No","No","Yes","No","No","No","No","No","No","No","No","No"
"Deluge","Yes","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","HTTP(S), SOCKS4-5"
"FlashGet","No","No","No","No","No","No","No","Yes","No","Yes","No","No","No"
"Free Download Manager","Yes","No","No","No","No","No","No","Yes","Yes","No","No","No","No"
"KTorrent","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Partial","HTTP, SOCKS4-5"
"LimeWire","Partial","No","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No","No"
"Meerkat Bittorrent Client","No","No","Yes","No","Yes","Yes","Yes","Yes","No","Yes","No","No","No"
"MLDonkey","Yes","No","No","Yes","Yes","Yes","No","Yes","No","No","Yes","No","No"
"µTorrent","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","HTTP(S), SOCKS4-5"
"OneSwarm","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No"
"Opera 12","No","No","No","Yes","No","No","No","No","Yes","No","No","No","No"
"qBittorrent","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","HTTP(S), SOCKS4-5"
"rTorrent","Yes","No","Yes","No","No","No","No","Yes","Yes","Yes","Yes","No","No"
"Shareaza","Yes","No","No","No","Yes","Yes","No","Yes","Yes","No","Yes","No","No"
"SymTorrent","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Tixati","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Tomato Torrent","No","No","No","Yes","No","No","No","Yes","No","No","No","No","No"
"Tonido Torrent","No","No","No","No","Yes","Yes","Yes","Yes","No","No","No","No","No"
"TorrentFlux","No","No","Yes","No","Yes","No","No","No","No","Yes","No","No","No"
"Transmission","Yes","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No"
"Tribler","Yes","No","No","Yes","Yes","Yes","No","Yes","Yes","Yes","No","No","Uses P2P onion routing to provide anonymity."
"Vuze (formerly Azureus)","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Plugin","HTTP(S)?, SOCKS4-4a-5"
"BitTorrent client","Magnet URI","Preload Magnet metadata","Super-seeding","Embedded tracker","UPnP","NAT Port Mapping Protocol","NAT traversal","DHT","Peer exchange","Encryption","UDP tracker","LPD","Proxy server"
