"Security and Privacy","Security and Privacy","Security and Privacy","Security and Privacy","Security and Privacy","Security and Privacy","Security and Privacy","Security and Privacy","Security and Privacy","Security and Privacy"
"Feature","iOS","Android","Firefox OS","Windows Phone","BlackBerry 10","Mer","Tizen","Sailfish OS","Ubuntu Touch"
"Proxy server","Yes","3.1+ but only global, not per connection and only works for the browser 3rd party apps available","No","Yes","Yes","?","Yes","Yes","?"
"On-device encryption","Yes (3rd party software may attempt brute-force attack on password)","3+","No","8+","Yes (3rd party software may attempt brute-force attacks on password)","?","No","No","?"
"External storage encryption","External storage not supported","No, 3rd party","?","8.1+ Apps and data only","Yes","?","No","?","?"
"Cloud encrypted storage","No, data stored on iCloud is accessible by Apple and shared with the American PRISM surveillance program.","No, data is accessible by Google and shared with the American PRISM surveillance program.","?","No, data is accessible by Microsoft and shared with the American PRISM surveillance program.","?","?","?","?","?"
"Privacy of synchronization","When synchronizing locally and not using iCloud (that keeps data unencrypted)","Not possible since there is only Google synchronization (that keeps data unencrypted), possible with HTC Sense Desktop Sync","?","Partial, Contacts, Calendar and Mail can be kept private when using your own Exchange server or Office 365 own cloud instead of synchronizing with public cloud servers (that keeps data unencrypted) for Photos and Office docs can be kept private when using your own Office 365 cloud or SharePoint, or synchronization of Phones can be disabled (by default).","When using your own BES instead of BlackBerry cloud BES (that keeps data unencrypted)","?","?","?","?"
"Sync to cloud communication encryption","Yes","2.3.4+","?","7.10.7720.0+","Yes","?","?","?","?"
"Wireless anti-tracking","8+","3rd party software","No","No","No","No","No","?","?"
"Remote device location tracking","Yes","Yes","No","Yes","Yes","?","?","?","?"
"Remote device locking and/or data wipe","Yes","2.2+","No","Yes","Yes","?","?","?","?"
"End-to-end encrypted push notifications","Possible since iOS 7, where the application can handle the notification and decrypt it","Possible, notifications are handled by the application that can decrypt it","?","Possible, raw notifications are handled by the application that can decrypt it","?","?","?","?","?"
"SSH Client","Yes","Yes","?","Yes","Yes","Yes","?","Yes","Yes"
"VPN","Yes","Yes","No","8.1+","10+","No","?","?","?"
"OpenVPN","Yes","No, but possible with 3rd party firmware","No","No","No","Yes","?","Yes","?"
"WPA PEAP","Yes","Yes","Yes","Yes","?","?","?","In developer mode","?"
