"","GUI","Console","Software license","Cost","Latest version","Latest release date","Windows","Macintosh","Linux"
"010 Editor","Yes","No","Proprietary","USD 50–130","6.0.1","January 28, 2015","Yes (Win98 and up)","Yes","Yes"
"1Fh","Yes","No","Proprietary (Freeware)","0","1.18","April 29, 2009","Yes","No","No"
"HxD","Yes","No","Proprietary (Freeware)","0","1.7.7.0","April 3, 2009","Yes (Win95, WinNT4 and up)","No","No"
"AptEdit","Yes","No","Proprietary","USD 44.95","4.8.1","","Yes (Win2000 and up)","No","No"
"AXE","Yes","No","Proprietary","USD 35","3.4","","Yes (Win95 and up)","No","No"
"AviHex","Yes","No","Proprietary (Freeware)","0","2.5.3","June 20, 2008","Yes","No","No"
"Be.HexEditor","Yes","No","MIT License","0","1.6.0","December 27, 2013","Yes (Win2k and up)","No","No"
"beav","No","Yes","GPL / Free Software","0","1.4.0","","Yes (msdos)","","Yes"
"beye","No","Yes","GPL / Free Software","0","6.1.0","December 12, 2009","Yes","Yes","Yes"
"Binary Viewer Pro","Yes","No","Proprietary","USD 10","1.0.0","December 26, 2008","Yes","No","No"
"bvi","No","Yes","GPL / Free Software","0","1.4.0","October 7, 2014","Yes (DOS, Win95 and up)","Yes","Yes"
"Cheat Engine","Yes","No","APL","0","6.4","June 19, 2014","Yes","No","No"
"CI Hex Viewer","Yes","No","Proprietary","0","1.3","January 14, 2013","Yes (Windows XP and up)","Yes (Mac OS X 10.6 and up)","Yes"
"Cygnus Hex Editor","","","Proprietary","USD 39","2.50","","Yes (WinNT4 and up)","No","No"
"dhex","No","Yes","GPL / Free Software","0","0.68","September 9, 2012","No","Yes","Yes"
"EditPad Pro","Yes","No","Proprietary","USD 50","7.1.1","January 24, 2012","Yes (Win98 and up)","No","No"
"Emacs","Yes","Yes","GPL / Free Software","0","24.4","October 20, 2014","Yes","Yes","Yes"
"Febooti Hex Editor","Yes","No","Proprietary","0","3.0","July 2011","Yes (Win95 and up)","No","No"
"FlexHex","Yes","No","Proprietary","USD 40","2.60","September 16, 2008","Yes (WinNT4 and up)","No","No"
"Frhed (Free Hex Editor)","Yes","No","GPL / Free Software","0","1.7.1","July 30, 2009","Yes (Win98 and up)","No","No"
"GHex","Yes","No","GPL / Free Software","0","2.24.0","February 19, 2009","No","Yes (via MacPorts)","Yes"
"Hackman Suite","Yes","No","Proprietary","USD 27","9.2","October 12, 2011","Yes","No","No"
"HEdit","Yes","No","Proprietary","USD 99","3.2","","Yes","No","No"
"Hex-works","Yes","No","free (web application)","0","14.02.2015","February 14, 2015","Yes","Yes","Yes"
"HexCurse","No","Yes","GPL / Free Software","0","1.58","February 27, 2014","No","No","Yes"
"Hexditor.jar","Yes","No","Proprietary (Freeware)","0","-","December 12, 2012","Yes (any windows with Java 1.4 or more)","Yes","Yes"
"HexEdit","Yes","No","MIT License","0","4.0","July 13, 2012","Yes","No","No"
