"Name","Advanced command","Scriptable","Supported architecture","Supported filesystem","Supported OS","Supported executable","Supported protocol","Supported decompression","Others"
"GRUB Legacy","Yes","No","i386 (PC)","FAT16, FAT32, MINIX fs, Linux ext2, ext3, ext4, ReiserFS, JFS, XFS, VSTa fs, Btrfs","FreeBSD, NetBSD, OpenBSD, GNU/Linux","ELF","TFTP","gzip"," "
"GRUB 2","Yes","Yes","i386 (PC, coreboot, OLPC, Mac), PowerPC (Mac, Pegasos II, IBM), Sun UltraSPARC (SPARC v9)","ext2, ext3, ext4, btrfs, zfs, ufs, minix, iso9660, udf, jfs, hfs, hfs+, afs, affs, sfs, xfs, reiserfs, tar, cpio, NTFS, FAT16, FAT32","Linux (PC, mac), FreeBSD (PC), OpenBSD (PC), NetBSD (PC)","?","?","?"," "
"LILO","No","No","i386 (PC)","agnostic","?","?","?","bzip2, gzip"," "
"LOLO (Logic PD)","Yes","Yes","ARM7, ARM9, ARM11, Cortex-A8, StrongARM, SH, ColdFire","FAT16, FAT32, YAFFS1, YAFFS2","Linux, WinCE","ELF, binary, BIN (WinCE), SREC","TFTP","?","Supported devices: MCF54xx, MCF5329, MCF5373, LLH7A400, LLH7A404, LLH79520, LLH79524, LSH7727, LSH7750, LSH7760, PXA270, PXA320, IMX31, IMX27, OMAP35xx, OMAP37xx"
"SYSLINUX","via cmd.c32 module","via lua.c32 module","i386 (PC)","ext2, ext3, ext4, btrfs, ufs 1/2, FAT16, FAT32, iso9660, udf, NTFS (since 4.06), ?","GNU/Linux","None","TFTP","gzip, bzip2, lzo, zip, lzma, ?"," "
"AKernelLoader","No","No","x86 (PC)","FAT32,ext2,ext3","GNU/Linux","ELF,Binary","?","?"," "
"Yaboot","No","No","PowerPC (Open Firmware)","ext2, ext3, ext4, hfs","GNU/Linux, ?","?","?","?"," "
"RedBoot","yes","yes (boot only)","ARM, ColdFire, H8300, x86, Freescale/Motorola 68000, MIPS, PPC, SH, SPARC, SPARCLite","JFFS2","Linux, eCos","ELF","TFTP, serial (X-modem)","gzip"," "
"Das U-Boot","Yes","Yes","PPC, ARM, AVR32, Blackfin, ColdFire, IXP, Leon2, m68k, MicroBlaze, MIPS, NIOS, NIOS2, PXA, x86, StrongARM, SH2, SH3, SH4, ...","FAT, VFAT, ext2, ext3, ext4, jffs2, cramfs, reiserfs, yaffs2, ubifs, nfs","4_4bsd, Artos, Dell, Esix, FreeBSD, Irix, Linux, LynxOS, NCR, NetBSD, OpenBSD, pSOS, QNX, RTEMS, SCO, Solaris, SVR4, U-Boot, VXworks","ELF, U-Boot image format","TFTP, NFS, serial (S-Record, Y-Modem, Kermit binary protocol)","bzip2, gzip, lzma"," "
"Barebox","Yes","Yes","ARM, Blackfin, NIOS2, MIPS, x86, PPC","FAT, VFAT, ext2, ext3, ext4, bpkfs, cramfs, NFS, EFI, efivarfs, ubifs","Linux","ELF, U-Boot image format","TFTP, NFS, serial (S-Record, Y-Modem, Kermit binary protocol)","bzip2, gzip, lz4, xz, lzo"," "
"kboot","?","?","i386, PowerPC64","most supported by Linux Kernel (ext2, ext3, ext4, reiserfs, xfs, jfs, etc..)","Linux","?","HTTP, FTP, TFTP","?","SSH, NFS support. kexec-based bootloader."
"Runnix","?","?","?","?","Linux","?","?","?","kexec and SYSLINUX based bootloader."
"kexec-loader","No","No","i386","most supported by Linux Kernel (ext2, ext3, ext4, reiserfs, xfs, jfs, etc..)","Linux/multiboot","?","No networking","gzip (for kernel modules)","Kernel/multiboot module support"
"NTLDR","No","No","i386 (PC)","?","Windows","?","?","?","default bootloader on Windows NT"
"Windows Boot Manager","No","No","i386 (PC), ARM (only on Windows Mobile remake)","NTFS","Windows Vista, 7, 8, and 10","Portable Executable","?","?","Successor of NTLDR; used on Vista and up."
"FREELDR","No","No","i386 (PC), ARM, PowerPC","ext2, FAT12, FAT16, FAT32, ISO, NTFS","ReactOS, Linux, Windows NT 4.0, Windows 2000, Windows XP, Windows 2003","?","?","?","clone of NTLDR"
"boot0","?","?","?","?","?","?","?","?","FreeBSD's master boot record"
"extipl","?","?","?","?","?","?","?","?","IBM IPL upper compatible"
"Multiple Boot Manager","?","?","?","?","PC DOS, MS-DOS, Windows, OS/2, Linux, FreeBSD, NetBSD, OpenBSD, BeOS, B-right/V, Solaris, OpenStep, Plan 9, EOTA","?","?","?"," "
"bootload (Technologic Systems)","?","?","ARM","?","Linux","?","?","?","Proprietary"
"","","","","","","","","",""
