"Format","Filename extension","DRM support","Image support","Table support","Sound support","Interactivity support","Word wrap support","Open standard","Embedded annotation support","Book- marking","Video support"
"Comic Book Archive",".cbr, .cbz, .cb7, .cbt, .cba","?","Yes","No","No","No","No","Yes","No","No","No"
"DjVu",".djvu","?","Yes","Yes","No","No","No","Yes","Yes","Yes","?"
"DOC",".doc","?","Yes","Yes","?","?","Yes","No","?","?","?"
"DOCX",".docx","?","Yes","Yes","Yes","?","Yes","Yes","?","?","Yes"
"EPUB (IDPF)",".epub","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes/No","Yes/No","Yes"
"FictionBook",".fb2","No","Yes","Yes/No","No","No","Yes","Yes","Yes","?","?"
"HTML",".html","Yes","Yes","Yes","Yes","No","Yes","Yes","No","No","Yes"
"iBooks",".ibook","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes"
"Kindle",".azw","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes"
"Microsoft Reader",".lit","Yes","Yes","?","No","No","Yes","No","?","Yes","?"
"Mobipocket",".prc, .mobi","Yes","Yes","Yes","No","Yes","Yes","No","Yes","Yes","?"
"Multimedia EBook",".exe","Yes","Yes","?","Yes","Yes","No","Yes","Yes","Yes","?"
"Newton Book",".pkg","No","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","No"
"eReader",".pdb","Yes","Yes","?","No","No","Yes","No","Yes","Yes","?"
"Plain text",".txt","No","No","No","No","No","Yes","Yes","No","No","No"
"Plucker",".pdb","Yes","Yes","Yes","No","Yes","Yes","Yes","No","Yes","?"
"Portable Document Format",".pdf","Yes","Yes","Yes","Yes","Yes","Yes/No","Yes","Yes","Yes","Yes"
"PostScript",".ps","No","Yes","?","No","No","No","Yes","?","?","?"
"Tome Raider",".tr2, .tr3","Yes","Yes","?","No","No","Yes","No","?","?","?"
"OpenXPS",".oxps, .xps","?","Yes","Yes","?","No","No","Yes","?","?","?"
