"Tool","Creator","Target Business Size","License","Supported Database Platforms","Supported OSs","Standalone or bundled into a larger toolkit","Launch Date"
"CA ERwin Data Modeler","CA Technologies","SMBs and enterprises","Proprietary","Access, IBM DB2, Informix, Ingres, MySQL, Oracle, Progress, MS SQL Server, Sybase, Teradata","Windows","Standalone","~1992"
"Database Workbench","Upscene Productions","SMBs and enterprises","Proprietary","MS SQL Server, MySQL, Oracle, Firebird, InterBase, SQL Anywhere, NexusDB, MariaDB","Windows, Linux and FreeBSB (both through Wine)","Standalone","2001"
"DeZign for Databases","Datanamic","SMBs and enterprises","Proprietary","MS SQL Server, MySQL, Oracle, IBM DB2, Firebird, InterBase, Informix, MS Access, SQLite, PostgreSQL, Sybase, Paradox","Windows","Standalone","1999"
"Enterprise Architect","Sparx Systems","SMBs and enterprises","Proprietary","IBM DB2, Firebird, InterBase, Informix, Ingres, Access, MS SQL Server, MySQL, SQLite, Oracle, PostgreSQL, Sybase","Windows, Linux, Mac","Data modeling is supported as part of a complete modeling platform.","2000"
"ER/Studio","Embarcadero","SMBs and enterprises","Proprietary","Access, IBM DB2, Informix, Hitachi HiRDB, Firebird, Interbase, MySQL, MS SQL Server, Netezza, Oracle, PostgreSQL, Sybase, Teradata, Visual Foxpro and others via ODBC/ANSI SQL","Windows","Standalone","1998"
"MagicDraw","No Magic","Enterprises, SMBs, personal","Proprietary","MS SQL Server, Oracle, MySQL, PostgreSQL, IBM DB2","Windows, Linux, Mac","Standalone","1995"
"ModelRight","ModelRight","Enterprises, SMBs, personal","Proprietary","Access, MS SQL Server, Oracle, MySQL, PostgreSQL, IBM DB2","Windows","Standalone","2005"
"MySQL Workbench","MySQL (An Oracle Company)","SMBs - personal","Proprietary or GPL","MySQL","Linux, Windows, Mac OS","Standalone","2006"
"Navicat Data Modeler","PremiumSoft","SMBs and enterprises","Proprietary","MySQL, MS SQL Server, PostgreSQL, Oracle, SQLite","Windows, Mac OS, Linux","Standalone","2012"
"Open ModelSphere","Grandite","Enterprises - SMBs - personal","GNU GPL3","MS SQL Server, MySQL, PostgreSQL, Oracle, DB2","Windows, Mac OS, Linux","Standalone with Data, UML, and process modeling","2008"
"Oracle SQL Developer Data Modeler","Oracle","Enterprises","Proprietary","Oracle, MS SQL Server, IBM DB2","Cross-platform","Standalone","Unknown"
"PowerDesigner","Sybase","SMBs and enterprises","Proprietary","MS SQL Server, Oracle, PostgreSQL, MySQL, IBM DB2, Informix","Windows","Standalone","1996"
"InfoSphere Data Architect (Rational Data Architect)","IBM","Enterprises","Proprietary","IBM DB2, Informix Dynamic Server, Sybase, Oracle, SQL Server, Apache Derby/Cloudscape","Windows, Linux","part of IBM's  information management software portfolio","1994 ( as Rational Rose )"
"Software Ideas Modeler","Dusan Rodina","Enterprises, SMBs, personal","Proprietary","MS SQL Server, MySQL","Windows","Standalone","2009"
"SQLyog","Webyog, Inc.","Enterprises, SMBs, personal","Proprietary","MySQL, MariaDB","Windows and Linux (using Wine)","Standalone","2001"
"Toad Data Modeler","Quest Software","SMBs and enterprises","Proprietary","Access, IBM DB2, Informix, MySQL, MariaDB, PostgreSQL, MS SQL Server, SQLite","Windows","Standalone","2005 (before this date known as CaseStudio)"
"","","","","","","",""
