"Driver","802.11","Bus interface","WEP","WPA","WPA2","Monitor mode","Master mode","Ad-Hoc mode"
"acx","802.11a?, 802.11b, 802.11g","Cardbus, PCI","Yes","?","?","?","?","Yes"
"an","802.11b","Cardbus, PCI, ISA","Yes","?","?","?","?","Yes"
"arl","N/A","ISA","?","?","?","?","?","?"
"ath","802.11a, 802.11b, 802.11g, 802.11n","Cardbus, PCI, Mini PCI","Yes","Yes","Yes","Yes","Yes","Yes"
"awi","N/A","PC Card","?","?","?","?","Yes","Yes"
"bwi","802.11b, 802.11g","Cardbus, PCI","Yes","Yes","Yes","Yes","No","No"
"cnw","N/A","Cardbus","?","?","?","?","?","?"
"ipw","802.11b","Mini PCI","Yes","Yes","Yes","Yes","No","Yes"
"iwi","802.11a, 802.11b, 802.11g","Mini PCI","Yes","Yes","Yes","Yes","No","Yes"
"iwn","802.11a, 802.11b, 802.11g, 802.11n","Mini PCI","Yes","Yes","Yes","Yes","No","Yes"
"malo","802.11b, 802.11g","PCI","Yes","Yes","Yes","Yes","No","No"
"mwl","802.11a, 802.11b, 802.11g, 802.11n","PCI","Yes","Yes","Yes","Yes","Yes","No"
"ral","802.11a, 802.11b, 802.11g","Cardbus, PCI, Mini PCI","Yes","Yes","Yes","Yes","Yes","Yes"
"ray","N/A","PC Card","?","?","?","No","No","Yes"
"rum","802.11a, 802.11b, 802.11g","USB","Yes","Yes","Yes","Yes","Yes","Yes"
"run","802.11a, 802.11b, 802.11g","USB","Yes","Yes","Yes","Yes","Yes","Yes"
"uath","802.11b, 802.11g","USB","Yes","Yes","Yes","Yes","No","No"
"upgt","802.11b, 802.11g","USB","Yes","Yes","Yes","Yes","No","No"
"ural","802.11b, 802.11g","USB","Yes","Yes","Yes","Yes","Yes","Yes"
"urtw","802.11b, 802.11g","USB","Yes","Yes","Yes","Yes","No","No"
"wi","802.11b","PC Card, Cardbus, PCI","Yes","Yes (since 8.0)","Yes (since 8.0)","Yes (since 8.0?)","Yes","Yes"
"wpi","802.11a, 802.11b, 802.11g","Mini PCI","Yes","Yes","Yes","Yes","No","Yes"
"zyd","802.11b, 802.11g","USB","Yes","Yes","Yes","Yes","No","No"
