"","","","","","Web-related","Web-related","Web-related","Web-related"
"Name","Conditional compilation","Sockets","Multi-threading","Tabling","HTTP client","HTTP server","HTML Parser","RDF Triple store"
"BProlog","","","","Yes","","","",""
"Ciao","Yes","Yes","Yes","Yes","Yes","","Yes",""
"GNU Prolog","","Yes","","","","","",""
"Jekejeke Prolog","","Yes","Yes","","Yes","Yes","",""
"LPA-Prolog","","Yes","","","Yes","Yes","Yes",""
"SICStus Prolog","Yes","Yes","Yes","","","","",""
"SWI-Prolog","Yes","Yes","Yes","","Yes","Yes","Yes","Yes"
"Visual Prolog","Yes","Yes","Yes","","Yes","","Yes",""
"XSB","Yes","Yes","Yes","Yes","Yes","","",""
"YAP-Prolog","Yes","Yes","Yes","Yes","","","",""
