"File manager","SMB/CIFS","WebDAV","NFS","AFP","FTP","FISH/SSH"
"Altap Salamander","Yes","No","?","No","Yes","Yes"
"Directory Opus","Yes","Yes","Yes","No","Yes","Yes (SFTP & SSL)"
"Dired","Yes","Yes","Yes","No","Yes","Yes"
"Disk Order","?","?","?","?","Yes","Yes (FTPS & SFTP)"
"Dolphin","Yes","Yes","Yes","?","Yes","Yes"
"Double Commander","Yes","?","?","?","Yes","?"
"emelFM2","?","?","?","?","?","?"
"Far Manager","Yes","Partial","Partial","No","Yes","Yes"
"File Commander","Yes","Partial","Partial","No","Partial","Partial"
"File Manager","?","?","?","?","?","?"
"Finder","Yes","Yes","Yes","Yes","Partial","No"
"GNOME Commander","Yes","Yes","Yes","No","Yes","Yes"
"Konqueror","Yes","Yes","Yes","Yes","Yes","Yes"
"Krusader","Yes","Yes","Yes","No","Yes","Yes"
"muCommander","Yes","?","Yes","?","Yes","Yes"
"Midnight Commander","Yes","No","Yes","No","Yes","Yes"
"Nautilus","Yes","Yes","Yes","Yes","Yes","Yes"
"Path Finder","Yes","Yes","Yes","Yes","Yes (Read Access)","No"
"PCManFM","Yes","?","?","?","?","?"
"ROX-Filer","Yes","Yes","Yes","Yes","Yes","Yes"
"Total Commander","Yes","Yes","Partial","No","Yes","Yes"
"Thunar","Yes","Yes","Yes","No","Yes","Yes"
"Windows Explorer","Yes","Yes","Yes","No","Yes","No"
"Xandros File Manager","?","?","?","?","?","?"
"Xfe","?","?","?","?","?","?"
"Xfm","?","?","?","?","?","?"
"xplorer²","Yes","Yes","Partial","No","Yes","No"
"XYplorer","?","?","?","?","?","?"
"ZTreeWin","Yes","Partial","Partial","No","Partial","Partial"
"","","","","","",""
