"Implementation","PKCS #11 device","Intel AES-NI","VIA PadLock","STM32F2","Cavium NITROX","Freescale CAU/mmCAU","ARMv8-A","Microchip PIC32MZ"
"Botan","No","Yes","No","No","No","No","No","No"
"cryptlib","Yes","No","Yes","No","No","No","No","No"
"GnuTLS","Yes","Yes","Yes","No","No","No","No","No"
"JSSE","Yes","Yes","No","No","No","No","No","No"
"LibreSSL","No","Yes","Yes","No","Yes","No","No","No"
"MatrixSSL","Yes","Yes","No","No","No","No","No","No"
"mbed TLS","Yes","Yes","Yes","No","No","No","No","No"
"NSS","Yes","Yes","No","No","No","No","No","No"
"OpenSSL","No","Yes","Yes","No","Yes","No","Yes","No"
"RSA BSAFE","Yes","Yes","No","No","No","No","No","No"
"SChannel","No","Yes","No","No","No","No","No","No"
"Secure Transport","No","Yes","No","No","No","No","Yes","No"
"SharkSSL","No","No","No","Yes","No","Yes","No","No"
"wolfSSL","No","Yes","No","Yes","Yes","Yes","No","Yes"
"Implementation","PKCS #11 device","Intel AES-NI","VIA PadLock","STM32F2","Cavium NITROX","Freescale CAU/mmCAU","ARMv8-A","Microchip PIC32MZ"
