"Name","Show in-line changes","Directory comparison","Binary comparison","Moved lines","3-way comparison","Merge","Structured comparison","Manual compare aligment"
"Araxis Merge","Yes","Yes","Yes","Yes","Yes","Yes","No",""
"Beyond Compare","Yes","Yes","Yes","No","Yes (Files and Folders)","Yes (Pro only)","","Yes"
"Compare++","Yes","Yes","","","Yes","Yes","Yes (C/C++,C#,Java,Javascript,CSS3)",""
"diff","No","Yes","partly","No","No","No","",""
"diff3","No","No","","","Yes (non-optional)","","",""
"SG DiffMerge","Yes","Yes","","","Yes","Yes","","line alignment marker"
"DiffTool","Yes","Yes","Yes","No","No","Yes (folders)","",""
"Diffuse","Yes","No","","","arbitrary file diffs, but not a 3-way diff","Yes","","line alignment, isolate"
"Eclipse (compare)","Yes","","","","Yes","Yes","","No"
"Ediff","Yes","Yes","Yes","","Yes","Yes","",""
"ExamDiff Pro","Yes","Yes","Yes","Yes","Yes (ExamDiff Pro Master, only)","Yes","","manual synchronization"
"Far Manager (compare)","Yes (Via plugin)","Yes","Yes","Yes (Via plugin)","No","No","",""
"fc","No","No","Yes","","No","No","",""
"FileMerge","Yes","Yes","Yes","","Yes (optional ancestor)","Yes","",""
"Guiffy SureMerge","Yes","Yes","","","Yes","Yes","","Yes"
"IntelliJ IDEA (compare)","Yes","","","","Yes","Yes","",""
"jEdit JDiff plugin","Yes","","","","No","Yes","",""
"KDiff3","Yes","Yes","","","Yes","Yes","","alignment marker, split/join"
"Kompare","","Yes","No","","No","","",""
"Lazarus Diff","","","","","","","",""
"Meld","Yes","Yes","No","No","Yes","Yes","","line alignment, unlink scroll"
"Notepad++ (compare)","Yes","No","No","Yes","No","No","No",""
"Perforce P4Merge","Yes","No","No","","Yes","Yes","",""
"Pretty Diff","Yes","Yes","No","No","No","No","Yes","No"
"Tkdiff","Yes","No","No","No","No","No","",""
"Total Commander (compare)","Yes","Yes","Yes","","No","Yes","","resync comparasion"
"vimdiff","Yes","Yes (via DirDiff plugin)","","","can do 2, 3, or 4 file diffs, but not a 3-way diff","","",""
"WinDiff","Yes","Yes","Yes","Yes","No","No","",""
"WinMerge","Yes","Yes","No","Yes","No","Yes","","No"
"UCC","Yes","Yes","Yes","Yes","No","Yes","",""
"Name","Show in-line changes","Directory comparison","Binary comparison","Moved lines","3-way comparison","Merge","Structured comparison",""
