"Application","Creator","Software license"
"Ashampoo Burning Studio","Ashampoo Software","Freemium"
"Alcohol 120%","Alcohol Soft","Shareware"
"CDBurnerXP","Stefan Haglund, Fredrik Haglund","Freeware"
"cdrtools","Jörg Schilling","Open-source (CDDL parts are GPL)"
"DeepBurner","Astonsoft","Freemium"
"ImgBurn","LIGHTNING UK!","Freeware"
"InfraRecorder","Christian Kindahl","Open-source (GPL)"
"K3b","Sebastian Trüg, Christian Kvasny","Open-source (GPL)"
"Nero Burning ROM","Ahead Software","Shareware"
"PowerISO","PowerISO Computing, Inc.","Shareware"
"UltraISO","EZB Systems","Shareware"
"X-CD-Roast","T. Niederreiter","Open-source (GPL)"
"","",""
