"","Range","Hash","Composite (Range+Hash)","List","Expression"
"4th Dimension","?","?","?","?","?"
"ADABAS","?","?","?","?","?"
"Adaptive Server Enterprise","Yes","Yes","No","Yes","?"
"Advantage Database Server","No","No","No","No","?"
"Altibase","Yes","Yes","No","Yes","?"
"Apache Derby","No","No","No","No","?"
"ClustrixDB","Yes","No","No","No","No"
"CUBRID","Yes","Yes","No","Yes","?"
"IBM DB2","Yes","Yes","Yes","Yes","?"
"Empress Embedded Database","No","No","No","No","?"
"EXASolution","No","Yes","No","No","No"
"Firebird","No","No","No","No","?"
"HSQLDB","No","No","No","No","?"
"H2","No","No","No","No","?"
"Informix Dynamic Server","Yes","Yes","Yes","Yes","Yes"
"Ingres","Yes","Yes","Yes","Yes","?"
"InterBase","No","No","No","No","?"
"Linter SQL RDBMS","No","No","No","No","?"
"MaxDB","No","No","No","No","?"
"Microsoft Access (JET)","No","No","No","No","?"
"Microsoft Visual Foxpro","No","No","No","No","?"
"Microsoft SQL Server","Yes","No","No","No","?"
"Microsoft SQL Server Compact (Embedded Database)","No","No","No","No","?"
"MonetDB","No","No","No","No","No"
"MySQL","Yes","Yes","Yes","Yes","?"
"OpenBase SQL","?","?","?","?","?"
"Oracle","Yes","Yes","Yes","Yes","?"
"Oracle Rdb","Yes","Yes","?","?","?"
"OpenLink Virtuoso","Yes","Yes","Yes","Yes","Yes"
"Pervasive PSQL","No","No","No","No","No"
"Polyhedra DBMS","No","No","No","No","No"
"PostgreSQL","Yes","Yes","Yes","Yes","?"
"RDM Embedded","Yes","Yes","Yes","No","?"
"RDM Server","No","No","No","No","?"
"ScimoreDB","No","Yes","No","No","?"
"solidDB","Yes","No","No","No","?"
"SQL Anywhere","No","No","No","No","?"
"SQLite","No","No","No","No","?"
"Teradata","Yes","Yes","Yes","Yes","?"
"UniVerse","Yes","Yes","Yes","Yes","?"
"","Range","Hash","Composite (Range+Hash)","List","Expression"
