"Format","Languages","If not found"
"string in string(substring, pos, string[startpos:])","ALGOL 68","returns BOOL: TRUE or FALSE, and position in REF INT pos."
"InStr(«startpos,»string,substring)","VB (positions start at 1)","returns 0"
"INSTR$(string,substring)","BASIC (positions start at 1)","returns 0"
"index(string,substring)","AWK","returns 0"
"index(string,substring«,startpos»)","Perl","returns -1"
"instr(«startpos,»string,substring)","FreeBASIC","returns 0"
"strpos(string,substring«,startpos»)","PHP","returns FALSE"
"locate(string, substring)","Ingres","returns string length + 1"
"strstr(string, substring)","C, C++ (char * only, returns pointer to first character)","returns NULL"
"std.string.indexOf(string, substring)","D","returns -1"
"pos(string, substring«, startpos»)","Seed7","returns 0"
"strings.Index(string, substring)","Go","returns -1"
"pos(substring, string)","Pascal, Object Pascal (Delphi)","returns 0"
"pos(substring, string«,startpos»)","REXX","returns 0"
"string.find(substring«,startpos»)","C++ (STL)","returns std::string::npos"
"string.find(substring«,startpos«,endpos»»)","Python","returns -1"
"string.index(substring«,startpos«,endpos»»)","Python","raises ValueError"
"string.index(substring«,startpos»)","Ruby","returns nil"
"string.indexOf(substring«,startpos»)","Java, JavaScript","returns -1"
"string.IndexOf(substring«,startpos«, charcount»»)","VB .NET, C#, Windows PowerShell, F#","returns -1"
"string:str(string, substring)","Erlang","returns 0"
"(string-contains string substring)","Scheme (SRFI 13)","returns #f"
"(search substring string)","Common Lisp","returns NIL"
"(string-index substring string)","ISLISP","returns nil"
"List.findIndex (List.isPrefixOf substring) (List.tails string)","Haskell (returns Just index)","returns Nothing"
"Str.search_forward (Str.regexp_string substring) string 0","OCaml","raises Not_found"
"Substring.size (#1 (Substring.position substring (Substring.full string)))","Standard ML","returns string length"
"[string rangeOfString:substring].location","Objective-C (NSString * only)","returns NSNotFound"
"string.find(string, substring) 
 (string):find(substring)","Lua","returns nil"
"string indexOfSubCollection: substring startingAt: startpos ifAbsent: aBlock 
 string findString: substring startingAt: startpos","Smalltalk (Squeak, Pharo)","evaluate aBlock which is a block closure (or any object understanding value) 
 returns 0"
"startpos = INDEX(string, substring «,back» «, kind»)","Fortran","returns 0 if substring is not in string; returns LEN(string)+1 if substring is empty"
"POSITION(substring IN string)","SQL","returns 0 (positions start at 1)"
"index(string, substring, startpos )","PL/I","returns 0 (positions start at 1)"
"string.indexOf(substring«,startpos«, charcount»»)","Cobra","returns -1"
