"Audio player","Video playback","Outbound streaming","Skinnable","Media database","Gapless audio decoding","Visualizer","Remote controllable","Intelligent playlists from database (based on criteria)"
"AIMP","No","via Plugins","Yes","Yes","Yes","Yes","via Plugins","No"
"Amarok","Partial","Yes","Partial","Yes","Yes","Yes","Yes","Yes"
"Audacious","No","No","Yes","No","Yes","Yes","Yes","No"
"Audion","No","No","Yes","No","?","Yes","?","No"
"cmus","No","No","Yes","Yes","Yes","No","Yes","No"
"Cog","No","No","No","No","Yes","No","Yes","No"
"Clementine","No","No","No","Yes","Yes","Yes","Yes","Yes"
"Exaile","No","?","No","Yes","Yes","No","No","Yes"
"foobar2000","No","Partial","Yes","Yes","Yes","Yes","Partial","Yes"
"JuK","No","No","No","Yes","No","No","Yes","?"
"MediaMonkey","Yes","Partial","Yes","Yes","Yes","Yes","Partial","Yes"
"MPXPLAY","Only sound output","?","text-interface","Yes","Yes","Yes","Yes (also LCD ability)","?"
"Music Player Daemon","No","Yes","Client dependent","Yes","Yes","Client dependent","Yes","Client dependent"
"MusicBee","No","No","Yes","Yes","Yes","Yes","Yes","Yes"
"Musicmatch Jukebox","No","No","Yes","Yes","?","Yes","Yes","?"
"musikCube","No","No","No","Yes","No","Partial","?","Yes"
"Quod Libet","No","No","No","Yes","Yes","No","Yes","Yes"
"Rhapsody","No","No","No","Yes","?","No","?","?"
"Rhythmbox","No","No","No","Yes","Yes","Yes","Yes","Yes"
"Sonique","Partial","No","Yes","No","No","Yes","?","No"
"Spotify","?","?","?","?","Yes","?","?","?"
"Winamp","Yes","Yes","Yes","Yes","?","Yes","Yes","Yes"
"XMMS","Partial","Partial","Yes","No","Partial","Yes","Yes","No"
"XMPlay","Partial","Partial","Yes","No","Yes","Yes","No","No"
"Zinf","No","No","Yes","Yes","?","No","?","?"
"Audio player","Video playback","Outbound streaming","Skinnable","Media database","Gapless audio decoding","Visualizer","Remote controllable","Intelligent playlists from database (based on criteria)"
