"Name","Developer/Manufacturer","Release Year","Current Model?"
"SafeStick","BlockMaster","2004","Yes"
"SafeStick SuperSonic","BlockMaster","2009","Yes"
"IronKey S100","IronKey","2005","No"
"IronKey S200","IronKey","2009","Yes"
"IronKey D200","IronKey","2009","Yes"
"CryptX2","CryptX2 / Open Source","2012","Yes"
"DataTraveler 5000","Kingston Technology","2010","Yes"
"DataTraveler Locker+","Kingston Technology","","Yes"
"DataTraveler Vault","Kingston Technology","","Yes"
"DataTraveler Vault – Privacy Edition","Kingston Technology","","Yes"
"JumpDrive SecureII Plus","Lexar","","Yes"
"IronClad","Lockheed Martin","2010","Yes"
"Cruzer Enterprise","SanDisk","","Yes"
"Store 'n' Go Corporate","Verbatim","","Yes"
"Kanguru Defender 2000","Kanguru Solutions","2012","Yes"
"","","",""
