"Software","Web-based","Hosted On-Premises","SaaS","License","Programming language",""
"2-plan","Yes","Yes","Yes","Proprietary, Open source","Java and PHP",""
"5pm","Yes","No","Yes","Proprietary","PHP",""
"24SevenOffice","Yes","No","Yes","Proprietary","Java",""
"10,000ft","Yes","Yes","Yes","Proprietary","",""
"AceProject","Yes","No","Yes","Proprietary","",""
"Advanced Projects","No","Yes","No","Proprietary","X++",""
"Anyplan","No","Yes","Yes","Proprietary","",""
"Apache OFBiz","Yes","Yes","Yes","Apache License","Java, XML, FreeMarker, Groovy, JavaScript",""
"Apache Bloodhound","Yes","Yes","Yes","Apache License","Python",""
"Apollo","Yes","No","Yes","Unknown","",""
"Asana","Yes","No","Yes","Proprietary","",""
"Assembla","Yes","Yes","Yes","Proprietary","",""
"AtTask","Yes","No","Yes","Proprietary","",""
"Axosoft","Yes","Yes","Yes","Proprietary","",""
"Basecamp","Yes","No","Yes","Proprietary","Ruby",""
"Binfire","Yes","No","Yes","Unknown","",""
"Bontq","Yes","No","Yes","Unknown","",""
"Brightpod","Yes","No","Yes","Proprietary","",""
"BrightWork","Yes","Yes","Yes","Proprietary","",""
"CEITON","Yes","Yes","Yes","Proprietary","",""
"Celoxis","Yes","Yes","Yes","Proprietary","",""
"Central Desktop","Yes","No","Yes","Proprietary","",""
"Clarizen","Yes","No","Yes","Proprietary","",""
"ClickHome","Yes","Yes","Yes","Proprietary","",""
"Clinked","Yes","Yes","Yes","Proprietary","",""
"ClipPod","Yes","No","Yes","Proprietary","",""
"Collabtive","Yes","Yes","Yes","Open source (core only)","PHP",""
"Compuware Changepoint","Yes","Yes","Yes","Proprietary","",""
"ConceptDraw Project","No","Yes","No","Proprietary","",""
"Concerto Projects","Yes","Yes","Yes","Proprietary","ASP.NET",""
"Contactizer","No","Unknown","Unknown","Proprietary","",""
"Calligra Plan","No","Unknown","Unknown","GPL","C++ and Java",""
"Copper Project","Yes","Yes","Yes","Proprietary","",""
"Deltek Open Plan","No","Unknown","Yes","Proprietary","",""
"Deltek WelcomHome","Yes","Unknown","Unknown","Proprietary","",""
"DeskAway","Yes","Unknown","Yes","Proprietary","PHP",""
"Doolphy","Yes","Unknown","Yes","Proprietary","",""
"dotProject","Yes","Yes","Yes","GPL","PHP",""
"DynaRoad","No","Unknown","Unknown","Proprietary","",""
"Easy projects","Yes","Yes","Yes","Proprietary","",""
