"IRC daemon","Windows","DOS","Mac OS","Linux","BSD","Solaris","HP-UX","AIX","select()","poll()","epoll","kqueue","threads","RT signals","/dev/poll","Windows IOCP","Solaris IOCP"
"Bahamut","No","No","Yes","Yes","Yes","Yes","Unknown","Unknown","Yes","Yes","Yes","Yes","Unknown","No","Yes","No","No"
"bIRCd","Yes","No","Unknown","Yes","Yes","Yes","Yes","Unknown","Yes","Yes","No","No","Unknown","No","No","No","No"
"Charybdis","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Unknown","No","Yes","No","Yes"
"ConferenceRoom","Yes","No","Yes","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Yes","Unknown","No","Yes","Yes","No"
"InspIRCd","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Unknown","No","Yes","Yes","Yes"
"IRCD","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Unknown","No","No","No","No"
"ircd-hybrid","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Unknown","No","Yes","No","No"
"ircd-ratbox","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Unknown","Yes","Yes","No","Yes"
"ircu","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Unknown","No","Yes","No","No"
"ithildin","No","No","No","Yes","Yes","Unknown","Unknown","Unknown","Yes","Yes","No","Yes","Unknown","No","No","No","No"
"miniircd","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","Unknown","No","No","No","No"
"Nefarious IRCu","No","No","Yes","Yes","Yes","Yes","Yes","Unknown","Yes","Yes","Yes","Yes","Unknown","No","Yes","No","No"
"ngIRCd","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Unknown","No","Yes","No","No"
"OfficeIRC Server","Yes","No","Yes","Yes","Yes","No","No","No","Unknown","Unknown","No","No","Unknown","No","No","Yes","No"
"PleXusIRCd","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Unknown","Yes","Yes","No","No"
"pureIRCd","Yes","No","No","No","No","No","No","No","Yes","No","No","No","Unknown","No","No","No","No"
"RockIRCd","No","Yes","No","No","No","No","No","No","No","No","No","No","Unknown","No","No","No","No"
"RubIRCd","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No"
"ShadowIRCd","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Unknown","Yes","Yes","No","Yes"
"snircd","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Unknown","No","Yes","No","No"
"solid-ircd","No","No","Yes","Yes","Yes","Yes","Unknown","Unknown","Yes","Yes","Yes","Yes","Unknown","No","Yes","No","No"
"Synchronet IRCd","Yes","No","Yes","Yes","Yes","Yes","Unknown","Unknown","Yes","Yes","Yes","Yes","Unknown","No","Yes","No","No"
"UnrealIRCd","Yes","No","Yes","Yes","Yes","Yes","Unknown","Unknown","Yes","No","No","No","Unknown","No","No","No","No"
"WeIRCd","Yes","No","Yes","Yes","Yes","Unknown","Unknown","Unknown","Yes","No","No","No","Unknown","No","No","No","No"
