"","Trident","Gecko","WebKit","Presto"
"Value properties","Value properties","Value properties","Value properties","Value properties"
"E","3.0","1.0","Yes","1.0"
"LN10","3.0","1.0","Yes","1.0"
"LN2","3.0","1.0","Yes","1.0"
"LOG2E","3.0","1.0","Yes","1.0"
"LOG10E","3.0","1.0","Yes","1.0"
"PI","Yes","Yes","Yes","Yes"
"SQRT1_2","3.0","1.0","Yes","1.0"
"SQRT2","Yes","Yes","Yes","Yes"
"Function properties","Function properties","Function properties","Function properties","Function properties"
"abs(x)","3.0","1.0","Yes","1.0"
"acos(x)","3.0","1.0","Yes","1.0"
"asin(x)","3.0","1.0","Yes","1.0"
"atan(x)","3.0","1.0","Yes","1.0"
"atan2(y, x)","3.0","1.0","Yes","1.0"
"ceil(x)","3.0","1.0","Yes","1.0"
"cos(x)","3.0","1.0","Yes","1.0"
"exp(x)","3.0","1.0","Yes","1.0"
"floor(x)","3.0","1.0","Yes","1.0"
"log(x)","3.0","1.0","Yes","1.0"
"max([value1 [, value2 [, ...]]])","3.0","1.0","Yes","1.0"
"min([value1 [, value2 [, ...]]])","3.0","1.0","Yes","1.0"
"pow(x, y)","3.0","1.0","Yes","1.0"
"random()","3.0","1.0","Yes","1.0"
"round(x)","3.0","1.0","Yes","1.0"
"sin(x)","3.0","1.0","Yes","1.0"
"sqrt(x)","3.0","1.0","Yes","1.0"
"tan(x)","3.0","1.0","Yes","1.0"
