"Virtual machine","Machine model","Memory management","Code security","Interpreter","JIT","Precompilation","Shared libraries","Common Language Object Model","Dynamic typing"
"CLR","stack","automatic or manual","Yes","No","Yes","Yes","Yes","Yes","Yes"
"Dis (Inferno)","register","automatic","Yes","Yes","Yes","Yes","Yes","No","No"
"DotGNU Portable.NET","stack","automatic or manual","No","No","Yes","Yes","Yes","Yes","No"
"Java Virtual Machine (JVM)","stack","automatic","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"JikesRVM","stack","automatic","No","No","Yes","No","?","No","No"
"LLVM","register","manual","No","Yes","Yes","Yes","Yes","Yes","No"
"Mono","stack","automatic or manual","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Parrot","register","automatic","No","Yes","No","Yes","Yes","Yes","Yes"
"Dalvik","register","automatic","Yes","Yes","Yes","?","?","No","No"
"Squeak","stack","automatic","No","Yes","Yes","source to bytecode","Yes","No","Yes"
