"File manager","DOS","Windows","Mac OS X","Linux","BSD","Unix","AmigaOS","OS/2 & eCS","OpenVMS"
"Directory Opus","No","Yes","No","No","No","No","Yes","No","No"
"Dired","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Dolphin","No","Needs KDE","Yes","Yes","Yes","Yes","No","No","No"
"Double Commander","No","Yes","Yes","Yes","Yes","Yes","No","No","No"
"DOS Navigator","Yes","Yes","No","No","No","No","No","Yes","No"
"emelFM2","No","No","No","Yes","Yes","Yes","No","No","No"
"File Commander","No","Yes","No","Yes","Yes","Yes","No","Yes","No"
"GNOME Commander","No","No","Yes","Yes","Yes","Yes","No","No","No"
"Konqueror","No","Needs KDE","Yes","Yes","Yes","Yes","No","No","No"
"Krusader","No","No","Needs X","Yes","Yes","Yes","No","No","No"
"Midnight Commander","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No"
"muCommander","No","Yes","Yes","Yes","Yes","Yes","?","No","Yes"
"Nautilus","No","No","Yes","Yes","Yes","Yes","No","No","No"
"PathMinder","Yes","Yes","No","No","No","No","No","No","No"
"PCManFM","No","Needs POSIX-compliant platform","Needs POSIX-compliant platform","Yes","Yes","Yes","No","Needs POSIX-compliant platform","Yes"
"ROX-Filer","No","","","Yes","Yes","Yes","No","No","No"
"Thunar","No","No","No","Yes","Yes","Yes","No","No","No"
"Volkov Commander","Yes","Yes","No","No","No","No","No","No","No"
"Xandros File Manager","No","No","No","Yes","?","?","No","No","No"
"Xfe","No","Needs X","Needs X","Yes","Yes","Yes","No","Needs X","Yes"
"Xfile","No","No","Yes","No","No","No","No","No","No"
"Xfm","No","Needs X","Needs X","Yes","Yes","Yes","No","Needs X","Yes"
"ZTreeWin","No","Yes","No","No","No","No","No","Yes","No"
"","","","","","","","","",""
