"Client","Number of features included","Toolkits or SDKs","File transfer","Proxy server","Graphical emoticon","Unicode (UTF-8)","Built-in games","Themes, skins","Plugin system","Third party add-ons","Scripting","Message logging","Voice messaging","Voice mail","Webcam support","Offline messaging","Remote desktop assistance","Whiteboard","RTL texting"
"Adium","11","Cocoa","Yes","?","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","No","Yes","No","Yes","?","?","?"
"AIM","11","W32/Cocoa","Yes","Yes/No","Yes","Yes","No","Yes/No","Yes/No","Yes/No","No","Yes","Yes/No","No","Yes/No","Yes/No","No","No","No"
"aMSN","14","Tcl/Tk","Yes","http, socks5, msn gateway","Yes","Yes","Partial","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","No","No","No"
"Ayttm","9","GTK2","No","http, socks4/5","Yes","Yes","No","No","Yes","No","Yes","Yes","No","No","Partial","Partial","No","No","No"
"BitlBee","3","N/A","Yes","Yes","No","Yes","No","N/A","Yes","No","No","N/A","?","?","No","Yes","?","?","?"
"Bombus","10","Java ME","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","No","Yes","No","No","No","Yes","No","No","?"
"Centericq","5","ncurses","Partial","?","No","?","No","Yes","Yes","?","Yes","Yes","No","No","No","Yes","?","?","?"
"climm","7","line based","Yes","?","N/A","Yes","No","Yes","No","No","Yes","Yes","N/A","N/A","N/A","Yes","N/A","No","?"
"Coccinella","11","Tcl/Tk","Yes","http, socks4/5","Yes","Yes","Yes","Yes","Yes","?","No","Yes","Yes","No","No","Yes","No","Yes","?"
"eBuddy","6","No","Partial","?","Yes","Yes","No","No","No","No","No","Yes","No","No","Yes","Yes","No","No","?"
"Empathy","12","GTK3","Yes","?","Yes","Yes","No","Yes","?","?","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?"
"Fire","9","Cocoa","Yes","?","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","?","?","?","?","?","?","?"
"Gadu-Gadu","8","Qt","Yes","?","Yes","Yes","No","?","No","Yes","No","Yes","Yes","?","?","Yes","No","No","?"
"Gajim","12","GTK2","Yes","http","Yes","Yes","No","Yes","Yes","No","No","Yes","Yes","?","Yes","Yes","No","No","Yes"
"Google Talk","8","W32","Yes","?","Partial","Yes","No","Yes","No","Yes","No","Yes","Yes","No","Third party plugin","Yes","Yes","No","Yes"
"IBM Lotus Sametime","15","Yes","Yes","?","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","available","Yes","Yes","Yes","Yes","?"
"ICQ","12","W32","Yes","?","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","No","No","Yes"
"IMVU","6","?","No","?","Yes","Yes","Partial","Yes","No","Partial","No","Yes","No","?","No","Yes","?","?","?"
"Jitsi","12","Java","Yes","Yes","Yes","Yes","No","?","Yes","?","?","Yes","Yes","Yes","Yes","Yes","Yes","?","?"
"Kadu","10","Qt","Yes","Yes","Yes","Yes","No","Partial","Yes","Yes","Partial","Yes","Yes","No","No","Yes","No","No","?"
