"","English","Esperanto","Novial"
"Infinitive","(to) get absorbed","est-i absorb-at-a(j) (absorb-iĝ-i)","bli absorba"
"Simple present","get(s) absorbed","est-as absorb-at-a(j) 
(absorb-iĝ-as)","bli absorba"
"Future","will (shall) get absorbed","est-os absorb-at-a(j) 
(absorb-iĝ-os)","sal bli absorba"
"Simple past","got absorbed","est-is absorb-at-a(j) 
(absorb-iĝ-is)","bli-d absorba"
"Past perfect","have (has) got absorbed","est-as absorb-it-a(j) 
(est-as absorb-iĝ-ant-a(j))","ha bli absorba"
"Pluperfect","had got absorbed","est-is absorb-it-a(j) 
(est-is absorb-iĝ-ant-a(j))","ha-d bli absorba"
"Future perfect","will (shall) have got absorbed","est-os absorb-it-a(j) 
(est-os absorb-iĝ-ant-a(j))","sal ha bli absorba"
"Future in the past","was going to (would, should) get absorbed","est-is absorb-ot-a(j) 
(est-is absorb-iĝ-ont-a(j))","sal-ed bli absorba"
"Conditional","would (should) get absorbed","est-us absorb-at-a(j) 
(absorb-iĝ-us)","vud bli absorba"
"Conditional perfect","would (should) have got absorbed","est-us absorb-it-a(j) 
(est-us absorb-iĝ-ant-a(j))","vud ha bli absorba"
"First imperative","let us get absorbed!","ni est-u absorb-ataj! 
(ni absorb-iĝ-u!)","let nus bli absorba!"
"Second imperative","get absorbed!","est-u absorb-at-a(j)! 
(absorb-iĝ-u!)","bli absorba!"
"Third imperative","let him get absorbed!","li est-u absorb-at-a! 
(li absorb-iĝ-u)","let lo bli absorba!"
"Present continuous","is (am, are) getting absorbed","est-as absorb-at-a(j) 
(est-as absorb-iĝ-ant-a(j))","es bli-nt absorba"
"Future continuous","shall (will) be getting absorbed","est-os absorb-at-a(j) 
(est-os absorb-iĝ-ant-a(j))","sal es bli-nt absorba"
"Past continuous","was (were) getting absorbed","est-is absorb-at-a(j)          
(est-is absorb-iĝ-ant-a(j))","did es (es-ed) bli-nt absorba"
