"","Creator","Development started","First public release","Latest stable version","Cost (USD)","License","Notes"
"ADMB","D. Fournier, ADMB Project","","","11 / 2012","Free","BSD 3-clause (aka new) License","Automatic differentiation makes it well suited to complex minimization problems"
"Ch","SoftIntegration","","2001","7.0 / 2012","$399 (commercial) / $199 (academic) / Free (student)","Proprietary","C/C++ based numerical computing and graphical plotting"
"DADiSP","DSP Development","1984","1986","6.5 / 2010","$1995 (commercial) / $129 (academic) / Free (student)","Proprietary","Numeric computations for science and engineering featuring a spreadsheet like interface."
"Dyalog APL","Dyalog Ltd.","1981","1983","13.2 / January 2013","£850/year or 2% royalty (non-commercial £50, edu / unreg Free)","Proprietary","A modern dialect of APL, enhanced with features for functional and object-oriented programming."
"Euler Math Toolbox","R. Grothmann","1987","1988","9.4 / 2010","Free","GPL","Also a computer algebra system through interface with Maxima"
"Fityk","M. Wojdyr","","2002","1.0.1 / 2011","$115 (1.x binaries) / Free (source code and 0.x binaries)","GPL","interactive graphics, scriptable, specialized in curve fitting and peak fitting, 2D only"
"FreeMat","Samit Basu","","","4.1 / November 28, 2011","Free","GPL","Codeless interface to external C, C++, and Fortran code.  Mostly compatible with MATLAB."
"GAUSS","Aptech Systems","","1984","15.1 / March 2015","Not free","Proprietary",""
"IGOR Pro","WaveMetrics","1986","1988","6.36 (6.3.6.4) / 2014","$595 (commercial) / $435 (academic) / $85 (student)","Proprietary","interactive graphics, programmable, 2D/3D, used for science and engineering, large data sets."
"J","Jsoftware","1989","1990","J802 / July 9, 2014","Free","GPL","online access to: J Application Library (JAL)"
"Julia","Jeff Bezanson, Stefan Karpinski, Viral B. Shah, and other contributors","2009","2012","0.3.1 / 2014","Free","MIT License","Open source language and environment for scientific computing. Direct calls of C functions from code (no wrappers or special APIs needed). Designed for cloud parallel computing in mind with LLVM JIT as a backend. Lightweight ""green"" threading (coroutines). Efficient support for Unicode. Powerful shell-like capabilities for managing other processes. Lisp-like macros and other metaprogramming facilities."
"LabVIEW","National Instruments","","1985","2010 / August 2010","$1249 (commercial) / $79.95 (student)","Proprietary","Graphical and textual (.m file script) programming approaches"
"Maple","Maplesoft","1980","1982","2015 / March 4, 2015","$2275 (commercial) / $99 (student)","Proprietary","Mainly a computer algebra system"
"Mathcad","Parametric Technology Corporation","1985","1986","15.0; Prime 3.0 / October 1, 2013","$1195 (commercial) / $99 (student)","Proprietary","Mainly a computer algebra system"
"Mathematica","Wolfram Research","1986","1988","10.1 (March 30, 2015)","Free (Raspberry Pi), $2495 (commercial) / $145 (student) / $295 (personal)","Proprietary","also computer algebra system"
"MATLAB","MathWorks","the late 1970s","","2013a","$2150 (commercial) / $99 (student)","Proprietary","Numerical computation and simulation with extended 2D/3D visualization."
"Maxima","MIT Project MAC and Bill Schelter et al.","1967","1982","5.28.0 / August 27, 2012","Free","GPL","Mainly a computer algebra system"
"GNU Data Language","Marc Schellens","","2004","0.9.1 / 2011","Free","GPL","Aimed as a drop-in replacement for IDL/PV-WAVE"
"GNU Octave","John W. Eaton","1988","1993","4.0.0 (May 29, 2015; 13 days ago)","Free","GPL","General numerical computing package with lots of extension modules. Syntax mostly compatible with MATLAB"
"Origin","OriginLab","","1991","9.1 SR0 / Oct. 2013","$1095 (std.)/$1800 (Pro)
$550 (std., academic)
$850 (Pro, academic)
 $69/yr. (Pro, student)","Proprietary","Integrated data analysis graphing software for science and engineering.  Flexible multi-layer graphing framework. 2D, 3D and statistical graph types. Built-in digitizing tool. Analysis with auto recalculation and report generation. Built-in scripting and programming languages."
