"Codec","Windows","Mac OS X","GNU/Linux","BSD","Unix","Palm OS","Symbian OS","Rockbox","Android"
"AAC","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"ALAC","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes"
"apt-X","Yes","Yes","Yes","Yes","Yes","No","No","No","No"
"CELT","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No"
"FLAC","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Monkey's Audio","Yes","Yes","Yes","Yes","Yes","No","No","Yes","No"
"MP3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Musepack","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No"
"Opus","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes"
"RealAudio","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No"
"Speex","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No"
"Vorbis","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"True Audio (TTA)","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"WavPack","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No"
"WMA","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes
(in old versions)"
