"","Wireframe","Animation","Rendering","Imports","Exports"
"3ds Max","Yes","Yes","Yes","FBX, 3DS, PRJ, AI, DAE, DEM, XML, DDF, DWG, DXF, FLT, HTR, IGE, IGS, IGES, IPT, WIRE, IAM, LS, VW, LP, OBJ, SAT, SHP, SKP, STL, TRC","FBX, 3DS, AI, ASE, ATR, BLK, DAE, DF, DWG, DXF, FLT, HTR, IGS, LAY, LP, M3G, OBJ, SAT, STL, VW, WRL"
"AC3D","Yes","?","No","GIF, JPG, PNG, BMP, DDS, PPM, Targa, TIFF, 3D Studio, AC3D, DXF,COLLADA, LDraw (Lego), Lightwave, Massive, Milkshape Ascii, Obj (Wavefront), OFF, Pointfield, Points, Quake BSP, Quake MD2, Renderware, SMF, SOF Airfoil, STL (ascii), Terragen, Triangle, Vector, VRML 1.0","GIF, JPG, PNG, BMP, DDS, PPM, Targa, TIFF, 3D Studio, 3D Studio ASE, AC3D, DirectX, Dive, DVS, DXF, COLLADA, Inventor, LDraw (Lego), Lightwave, Massive, Milkshape Ascii, Obj (Wavefront), Ogre, PovRay, Quake MD2, Quake Map, Renderman, SMF, STL (ascii), Triangle, Unreal Tournament, VRML 1.0, VRML 2.0, X3D"
"Blender","Yes","Yes","Yes","TGA, JPG, PNG, OpenEXR, DPX, Cineon, Radiance HDR, Iris, SGI Movie, IFF, AVI and QuickTime GIF, TIFF, PSD, MOV (Windows and Mac OS X),3D Studio, Autodesk FBX, AC3D, COLLADA,  DXF, Wavefront OBJ, DEC Object File Format, DirectX, Lightwave LWO, MD2, Motion Capture, Nendo, OpenFlight, PLY, Pro Engineer, Radiosity, Raw Triangle, Softimage, STL, TrueSpace, VideoScape, VRML, VRML97, X3D Extensible 3D","TGA, JPG, PNG, OpenEXR, DPX, Cineon, Radiance HDR, Iris, SGI Movie, IFF, AVI and QuickTime GIF, TIFF, PSD, MOV (Windows and Mac OS X),3D Studio, AC3D, COLLADA, Autodesk FBX, Adobe After Effects JSX, DXF, Wavefront OBJ, DEC Object File Format, DirectX, Lightwave LWO, MD2, Motion Capture, Nendo, OpenFlight, PLY, Pro Engineer, Radiosity, Raw Triangle, Softimage, STL, TrueSpace, VideoScape, VRML, VRML97, X3D Extensible 3D, xfig export"
"Electric Image Animation System","Yes","Yes","Yes","TGA, JPG, PNG, BMP, Radiance HDR, AVI and QuickTime, TIFF, PSD, MOV, 3D Studio, FBX, DXF, Wavefront OBJ, LWO, MDD","PNG, BMP, AVI and QuickTime GIF, TIFF, MOV,3D Studio, DXF, Wavefront OBJ, LWO"
"Cinema 4D","Yes","Yes","Yes","FBX, OBJ, 3DS, QD3D, STL, DEM, VRML 1, VRML 2, LWO/LWS, DXF","FBX, OBJ, 3DS, QD3D, STL, W3D, VRML 1, VRML 2, DXF"
"Clara.io","Yes","Yes","Yes","FBX, OBJ, Collada, MD2, MD3, MD5, 3DS, STL, DXF, Three.js, LWO, GEO, IRR, PLY, POV, SHP, XGL, ZGL, X, WRL, WRZ, AC, BLEND, BVH, CSM, LWS, PNG, JPG","FBX, OBJ, Collada, STL, Three.js, glTF, Babylon.js"
"Cobalt","Yes","Yes","Yes","3DS, ACIS SAT, AI, ASCII Text, BMP, CATIA v4, CGM, CCAD, CO (native), Drawing board, DWG/DXF, Facet, GIF, Grid Surface, IGS (IGES), JPEG, Parasolid XT, PICT, PNG, PPM, Pro/E, Rhino 3DM, Spline, STP (STEP), VRML, XBM, XPM","ACIS SAT, AI, ASCII Text, BMP, CATIA v4, CGM, CO (native), Drawing board, DWG/DXF, Facet, GIF, Grid Surface, IGS (IGES), JPEG, Parasolid XT, PDF, PICT, PNG, PPM, Pro/E, RAW Triangle, Shockwave 3D, STP (STEP), VRML, XBM, XPM"
"IClone","Yes","Yes","Yes","FBX, OBJ, BVH, SKP (via 3DXChange) | JPG, BMP, GIF, TGA, PNG | AVI, WMV, MP3, WAV, popVideo","FBX, OBJ, BVH (via 3DXChange) | JPG, BMP, GIF, TGA, PNG | WMV, AVI, MP4, popVideo, FLV, iWidget"
"Lightwave 3D","Yes","Yes","Yes","TGA, JPG, PNG, AI, EPS, BMP, IFF, Radiance HDR, AVI and QuickTime GIF, TIFF, PSD, MOV, 3D Studio, COLLADA, FBX, DXF, Wavefront OBJ, LWO, FBXMD2, VideoScape, VRML, VRML97","TGA, JPG, PNG, BMP, Radiance HDR, IFF, AVI and QuickTime GIF, TIFF, PSD, MOV,3D Studio, COLLADA, FBX, DXF, Wavefront OBJ, LWO, MD2, VRML, VRML97"
"MakeHuman","No","No","No","N/A","COLLADA, FBX Export, MD5, MHX, Wavefront OBJ, Ogre3D, STL"
