"Name","ZIP support","FTP support","SFTP support","Version Control browsing","Patch creation","Patch application","Patch preview","Unicode support","XML-aware"
"Araxis Merge","","Yes","No","Browse file versions but not folders","","","","Yes","Yes"
"Beyond Compare","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes",""
"Compare++","","","","SVN, CVS, Git, Microsoft TFS, Perforce, VSS using command line","","","","Yes",""
"diff","No","No","","No","Yes","Yes with patch","Yes with patch","Yes","No"
"diff3","No","No","","","","","","","No"
"SG DifMferge","","","","Git, Mercurial, SVN, Microsoft TFS, VSS 2005","","","","Yes",""
"DiffTool","Yes + APK","No","","","","","","Yes",""
"Diffuse","","","","Baazar, CVS, Darks Git, Mercurial, Monotone, RCS, SVN, SVK","","","","Yes",""
"Eclipse (compare)","","","","Yes CVS, Subversion, Git, Mercurial,  Baazar","","","","Yes",""
"Ediff","Yes","Yes","","RCS, CVS, SVN, Mercurial, git (anything supported by Emacs' VC-mode)","Yes","Yes","Yes","",""
"ExamDiff Pro","Yes","Yes","","","normal diff only","","","Yes",""
"Far Manager (compare)","No","No","","No","No","No","No","Yes","No"
"fc","No","No","","","No","","","",""
"FileMerge","No","supported by OS","","","No","","","No","No"
"Guiffy SureMerge","Yes","","","","Yes","Yes","","Yes",""
"IntelliJ IDEA (compare)","Yes","","","Yes","Yes","Yes","Yes","Yes",""
"jEdit JDiff plugin","Yes","Yes","","Yes","Yes","Yes","Yes","Yes",""
"KDiff3","","Yes","","","","","","Yes",""
"Kompare","","","","","Yes","","","",""
"Lazarus Diff","","","","","","","","",""
"Meld","","","","CVS, Subversion, Git, Mercurial,  Baazar","Yes","","","Yes",""
"Notepad++ (compare)","No","Yes","","Git, Subversion (compare against base)","No","No","No","Yes","No"
"Perforce P4Merge","","","","No","","","","Yes",""
"Pretty Diff","No","No","","No","No","No","No","Yes","Yes"
"Tkdiff","No","No","","CVS, RCS, Subversion","No","No","No","No","No"
"Total Commander (compare)","Yes","Yes","","","","","","",""
"vimdiff","Yes","Yes","","","Yes","","","Yes",""
"WinDiff","No","No","","","No","","","No",""
"WinMerge","Yes","No","","Mercurial, Subversion,  Visual Source Safe, Rational ClearCase","Yes","","","Yes",""
"UCC","Yes","No","","","","","","Yes",""
"","","","","","","","","",""
