"License","Author","Latest version","Publication date","Linking","Distribution","Modification","Patent grant","Private use","Sublicensing","Grants TM"
"Academic Free License","Lawrence E. Rosen","3","2002","Permissive","?","Permissive","?","?","?","?"
"Apache License","Apache Software Foundation","2.0","2004","Permissive","Permissive","Permissive","Yes","Yes","Permissive","No"
"Apple Public Source License","Apple Computer","2.0","August 6, 2003","Permissive","?","Limited","?","?","?","?"
"Artistic License","Larry Wall","2.0","2000","With restrictions","?","With restrictions","?","?","?","?"
"Beerware","Poul-Henning Kamp","42","1987","?","?","?","?","?","?","?"
"Berkeley Database License","Oracle Corporation","?","February 7, 2008","?","?","?","?","?","?","?"
"BSD License","Regents of the University of California","3.0","?","Permissive","Permissive","Permissive","Manually","Yes","Permissive","Manually"
"Boost Software License","?","1.0","August 17, 2003","Permissive","?","Permissive","?","?","?","?"
"CeCILL","CEA / CNRS / INRIA","2.0","May 21, 2005","?","?","?","?","?","?","?"
"Common Development and Distribution License","Sun Microsystems","1.0","December 1, 2004","Permissive","?","Limited","?","?","?","?"
"Common Public License","IBM","1.0","May 2001","Copyleft","?","Copylefted","?","?","?","?"
"Cryptix General License","Cryptix Foundation","?","1995","Permissive","Permissive","Permissive","Manually","Yes","?","Manually"
"Eclipse Public License","Eclipse Foundation","1.0","February 2004","Limited","Limited","Limited","Yes","Yes","Limited","Manually"
"Educational Community License","?","1.0","?","Permissive","?","Permissive","?","?","?","?"
"Eiffel Forum License","NICE","2","2002","?","?","?","?","?","?","?"
"EUPL","European Commission","1.1","January 2009","Limited","?","With an explicit compatibility list","?","?","?","?"
"GNU Affero General Public License","Free Software Foundation","3.0","2007","GNU GPLv3 only","Copyleft","Copylefted","Yes","Copylefted","Copylefted","Yes"
"GNU General Public License","Free Software Foundation","3.0","June 2007","GPLv3 compatible only","Copyleft","Copylefted","Yes","Yes","Copylefted","Yes"
"GNU Lesser General Public License","Free Software Foundation","3.0","June 2007","With restrictions","Copyleft","Copylefted","Yes","Yes","Copylefted","Yes"
"IBM Public License","IBM","1.0","August 1999","Copyleft","?","Copylefted","?","?","?","?"
"Intel Open Source License","Intel Corporation","?","?","?","?","?","?","?","?","?"
"ISC license","Internet Systems Consortium","?","June 2003","Permissive","?","Permissive","?","?","?","?"
"LaTeX Project Public License","LaTeX project","1.3c","?","Permissive","?","Permissive","?","?","?","?"
"MIT license / X11 license","MIT","N/A","1988","Permissive","Permissive","Permissive","Manually","Yes","Permissive","Manually"
"Mozilla Public License","Mozilla Foundation","2.0","January 3, 2012","Permissive","Copyleft","Copylefted","Yes","Yes","Copylefted","No"
"Netscape Public License","Netscape","1.1","?","Limited","?","Limited","?","?","?","?"
"Open Software License","Lawrence Rosen","3.0","2005","Permissive","?","Copyleft","?","?","?","?"
"OpenSSL license","OpenSSL Project","?","?","Permissive","?","Permissive","?","?","?","?"
"PHP License","PHP Group","3.01","?","?","?","?","?","?","?","?"
"Python Software Foundation License","Python Software Foundation","2","?","Permissive","?","Permissive","?","?","?","?"
"Q Public License","Trolltech","?","?","Limited","?","Limited","?","?","?","?"
"RealNetworks Public Source License","RealNetworks","?","?","?","?","?","?","?","?","?"
"Reciprocal Public License","Scott Shattuck","1.5","2007","?","?","?","?","?","?","?"
"Sun Industry Standards Source License","Sun Microsystems","?","?","?","?","?","?","?","?","?"
"Sun Public License","Sun Microsystems","?","?","?","?","?","?","?","?","?"
"Sybase Open Watcom Public License","Open Watcom","N/A","2003-01-28","?","?","?","?","?","?","?"
"W3C Software Notice and License","W3C","20021231","December 31, 2002","Permissive","?","Permissive","?","?","?","?"
"Do What The Fuck You Want To Public License (WTFPL)","Sam Hocevar","2","December 2004","Permissive","?","Permissive","?","?","?","?"
"XCore Open Source License
also separate ""Hardware License Agreement""","XMOS","?","February 2011","Permissive","Permissive","Permissive","Manually","Yes","Permissive","?"
"XFree86 1.1 License","The XFree86 Project, Inc","?","?","Permissive","?","Permissive","?","?","?","?"
"zlib/libpng license","Jean-Loup Gailly and Mark Adler","?","?","Permissive","?","Limited","?","?","?","?"
"Zope Public License","Zope Foundation","2.1","?","?","?","?","?","?","?","?"
