"Codename","Model","Year","Processors Supported","Fabrication process (nm)","FSB/QDR Frequency (MHz)","Crossfire Enabled","Features","Southbridge","NB-SB Interface","Notes"
"RS200L","IGP 330","2002","Pentium 4 (Northwood, Prescott)","180","400","No","Radeon VE (7000) IGP 150 MHz, AGP 4x, up to 1GiB of DDR-200 or 266","ATI IXP200/IXP250, VIA VT82C686B, ALI M1535D+","A-Link/PCI","HydraVision, Video Immersion, TV-out"
"RS200","IGP 340","2002","Pentium 4 (Northwood, Prescott)","180","533/400","No","Radeon VE (7000) IGP 183 MHz, AGP 4x, up to 1GiB of DDR-200 or 266","ATI IXP200/IXP250, VIA VT82C686B, ALI M1535D+","A-Link/PCI","HydraVision, Video Immersion, TV-out"
"RS200M revA","IGP 340M","2002","Pentium 4-M","180","533/400","No","Radeon VE (7000) IGP 183 MHz, AGP 4x, up to 1GiB of DDR-200 or 266","ATI IXP200/IXP250, VIA VT82C686B, ALI M1535D+","A-Link/PCI","ATI PowerPlay, HydraVision, Video Immersion, TV-out"
"RS200M+","IGP 345M","2002","Pentium 4-M","180","533/400","No","Radeon VE (7000) IGP 183 MHz, AGP 4x, up to 1GiB of DDR-200 or 266","ATI IXP200/IXP250, VIA VT82C686B, ALI M1535D+","A-Link/PCI","ATI PowerPlay, HydraVision, Video Immersion, TV-out"
"RS200M revB","IGP 350M","2003","Pentium M","180","533/400","No","Radeon VE (7000) IGP 183 MHz, AGP 4x, up to 1GiB of DDR-200 or 266","ATI IXP200/IXP250, VIA VT82C686B, ALI M1535D+","A-Link/PCI",""
"RS250M","IGP 7000 (IGP 360)","2003","Pentium 4-M HT, Pentium 4, Pentium M","180","533/400","No","Radeon VE (7000) IGP 183 MHz, AGP 4x, up to 4GiB of DDR-200, 266 or 333","ATI IXP200/IXP250, VIA VT82C686B, ALI M1535D+","A-Link/PCI","ATI PowerPlay 2.0, HydraVision, Video Immersion, TV-out"
"RS350","ATI Radeon 9100 PRO IGP","2004","","","800","No, AGP 8x","Radeon 9100 IGP","IXP150, IXP200, IXP300","","Dual Channel Memory"
"RC350","ATI Radeon 9000 PRO IGP","2004","","","800","No, AGP 8x","Radeon 9000 IGP","IXP150, IXP200, IXP300","","Single Channel Memory"
"RX330","","","","","800","No, AGP 8x","As RS350 without IGP","IXP150, IXP200, IXP300","",""
"RX320M","","","","","","","","","","Mobile chipset, PowerPlay"
"RS400
RS415

RC400
RC410","ATI Radeon Xpress 1150 (originally named ATI Radeon Xpress 200 for Intel)
Intel Essential Series D101GCC/D102GCC (Grand Country)","Mar 11 2005","Pentium 4, Core 2","","1066","No","Radeon X300 IGP","","",""
"RS600","ATI Radeon Xpress 1250","Aug 29 2006","Pentium 4, Core 2","80","1066","No","Radeon X700 IGP, 500 MHz","","","AVIVO, HDMI with HDCP, Dual Channel Memory"
"RD600","ATI Radeon CrossFire Xpress 3200","Sep 27 2006","Pentium 4, Core 2","","1066","Yes, 
Dual x8","","","","Dual Channel Memory"
"Codename","Model","Year","Processors Supported","Fabrication process (nm)","FSB/QDR Frequency (MHz)","Crossfire Enabled","Features","Southbridge","NB-SB Interface","Notes"
