"Program","search (criteria)","selection (styles)","metadata","adjust image (functions)","hotkeys","color management (ICC)","other / special","JPEG Lossless operations","Unicode support"
"ACDSee","Yes","Yes
 individual, linear, block","Yes
 Exif, IPTC","Yes
 many","Yes","Yes","GPS Location,  Scripts for batch/pre processing, automatic slideshow","Yes
rotation only","Yes"
"CDisplay","No","No","Yes","Yes
 Rotate, Filter","Yes
configurable","Yes","Slider, automatic slideshow, mouse control","No","No"
"Comix","No","No","","Yes
 Rotate, Filter","","","Slider, automatic slideshow, mouse control","",""
"digiKam","Yes 
file name, comments, most Exif and meta data","Yes
 linear, block, complex","Yes
 Exif and IPTC","Yes
 many editing function","Yes","Yes","Geotagging, batch processing, detect duplicate/similar images, export to Internet/social media/HTML","Yes
in 90° steps","Yes"
"Eye of gnome","No","No","Yes","Yes
 Rotate","Yes
unconfigurable","","","Yes",""
"F-Spot","","","Yes","","","","Export to HTML, Flickr, or O.r.i.g.i.n.a.l.","",""
"FastPictureViewer","Yes
Filter the view by rating, file name...","Yes
Copy, move, delete, rate, label","Yes
Write XMP Rating/Label, IPTC metadata, Windows Rating, embedded or in sidecar files, shows shooting info (Exif) and realtime RGB histogram","No","Yes","Yes
(supports custom monitor profile, direct conversion from image colorspace to monitor colorspace, ICC v4)","Native 32 and 64-bit, Tethered shooting (MTP/PTP over USB), Multicore-aware, DirectX accelerated, HD Photo / JPEG XR support.","n/a","Yes, native"
"FastStone Image Viewer","","Yes
 individual, linear","Partial
 JPEG comment","Yes
 many","","","","Yes
lossless transitions","No"
"Geeqie","Yes
 collections, keywords, filename, location, size, date, dimensions, comments, previous results","Yes
 block, linear, complex","Yes","Yes
 rotate, brightness, contrast","Yes","Yes","find duplicates, sort manager, recent collections","",""
"gThumb","Yes
 name, comment, date, category, folder, recursive-folder","Yes
 linear, block, complex","Partial","Yes
 manipulate color, flip/rotate, etc.","Yes","","bookmarks, comments, rename series, create index image, create HTML album","Yes",""
"Gwenview","Yes
 tags","","Yes
 Exif, IPTC, XMP","Yes
 Rotate, Red eye removal, saturation, color balance, levels and more","Yes","","batch processing, export to Internet/social media/HTML","Yes","Yes"
"ImageAXS","Yes","Yes","Yes","Yes","","","","",""
"IrfanView","Yes
 name, date, metadata","Yes
 individual, linear","Yes
 JPEG comment, IPTC, Exif","Yes
 many","Yes","Yes
Custom monitor profile supported","Batch Conversion, Supports Adobe Photoshop Filter 8BF plugins, Screen Capture","Yes
crop plugin and rotate plugin available","Yes
(with plugin)"
"KPhotoAlbum","Yes
 keywords, comments, title, any field from Exif metadata","Yes
 linear, complex","Partial","Yes
 per KIPI plugins","Yes
 configurable","","Quick-tagging using keyboard tokens","",""
"Phase One Media Pro","Yes
 name, date, rating, file size, and many more.","Yes
 individual, linear","Yes
 EXIF, IPTC, and custom keywords","Yes
 Rotate, Red eye removal, saturation, color balance, levels and more","Yes","Yes","Yes Find duplicates, hierarchical keywords, distributable catalog with free Media Pro reader, offline browsing of images","","Yes"
"Photos","","","","","","","","",""
"Picasa","Yes
 name, date, rating, faces","Yes
 individual, linear","Partial
 Keywords","Partial
 basic","Yes","Yes","collages, Geotagging, Search for Faces, find duplicates","Yes
rotation only","Yes"
"ResourceSpace","Yes","Yes","Yes
Exif, IPTC, user defined","Yes
 rotate, gamma","No","","","",""
"Shotwell","No","Yes
 individual, linear, hide","Yes
 Read IPTC, Exif, XMP","Yes
 Exposure, Saturation, Tint, Shadows, Temperature, and more","Yes","No","Non-destructive editor, Auto Enhance Images, Duplicate, Upload, Favorite","No","Yes"
"Simple Comic","No","","No","Yes
rotate","Yes","","capture page, remove page, set icon","",""
"STDU Viewer","No","No","No","No","Yes","No","No","No","Yes"
"Windows Picture and Fax Viewer","No","No","Yes: Exif","Yes
 rotate, lossless JPEG rotate, annotate TIFF images","Yes","","","Yes
rotate only","Yes"
"XnView","Yes
 name, date, file size, image size, meta data, ...","Yes
 individual, linear","Yes
 IPTC, Exif, JPEG comment","Yes
 many","Yes
 configurable","Yes
Custom monitor profile supported","Supports Adobe Photoshop Filter 8BF plugins","Yes","No
Supported in XnViewMP"
"xv","No","Partial
 individual, all","Partial
 view comments","Yes
 many","Yes","","","",""
"Zoner Photo Studio","Yes
 name, date, file size, meta data","Yes
 individual, linear","Yes
 IPTC, Exif, XMP, JPEG comment","Yes
 very many","Yes 
configurable","Yes","sign images, 16 bits per channel, GPS support, merge pictures to HDR, WIC codecs support","Yes","Yes"
"","","","","","","","","",""
