"Name","FAT16, dosfs; FAT32, vfat","NTFS","Ext2","Ext3","XFS","ReiserFS","UFS","UFS2","HFS","HFS+","MINIXfs","BFS","ISO 9660","UDF","NFS","SMBFS","RAM disk, tmpfs","ZFS","HAMMER","Other special file system"
"Linux","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","9P, FUSE, sysfs, configfs, Reiser4, JFS, Btrfs, UnionFS, Ext4"
"FreeBSD","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","No","FUSE, nullfs, UnionFS"
"NetBSD","Yes","Yes","Yes","","","","Yes","Yes","","Yes","","","Yes","Yes","Yes","Yes","Yes","Yes","No","PUFFS, LFS, EFS"
"OpenBSD","Yes","Yes","Yes","","No","No","Yes","No","No","No","No","No","Yes","Yes","Yes","Yes","Yes","No","No","AFS"
"DragonFly BSD","Yes","Yes","Yes","No","No","No","Yes","No","No","No","No","No","Yes","Yes","Yes","Yes","Yes","No","Yes","nullfs, PUFFS"
"OpenSolaris","Yes","Yes","No","No","No","No","Yes","","No","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","No","CIFS (native), QFS"
"AuroraUX","Yes","Yes","Yes","Yes","No","No","Yes","","No","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","No","CIFS (native), QFS"
"Darwin, OpenDarwin","Yes","Yes","","","","","Yes","","Yes","Yes","","","Yes","Yes","Yes","Yes","","","No",""
"MINIX","Yes","No","Yes","","","","","","","","Yes","No","","","","","","","No",""
"FreeDOS","Yes","No","No","No","No","No","No","","","","No","No","Yes","","","","Yes","","No",""
"Haiku","Yes","Yes","Yes","Yes","","","","","","","","Yes","","","","No","","","No",""
"KolibriOS","Yes","Yes","Yes","Yes","Yes","","","","","","","","Yes","","","","Yes","","No",""
"MenuetOS","Yes","","","","","","","","","","","","","","","","","","No",""
"GNU","Yes","","Yes","Yes","","","Yes","","","","","","Yes","","Yes","","Yes","No","No",""
"ReactOS","Yes","","Yes","No","No","No","No","","","","No","No","","","","","","","No",""
"L4, Fiasco, Pistachio","Yes","No","","","","","","","","","","","","","","","","","No",""
"Plan 9","Yes","","Yes","No","No","No","No","No","No","No","No","No","Yes","No","Yes","Yes","Yes","No","No","Fossil, Venti, most system services"
"AROS","Yes","","","","","","","","","","","","","","","","Yes","","No","SFS, AFFS"
"Syllable","Yes","Yes","Yes","Yes","","","","","","","","Yes","Yes","","","","Yes","","No","AFS"
"Inferno","Yes","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","Yes","","No","kfs, most system services"
"FreeRTOS","","","","","","","","","","","","","","","","","","No","No",""
"eCos","Yes","","Yes","","","","","","","","","","","","","","Yes","","No","MMFS, ROMfs, JFFS2, YAFFS"
"RTEMS","Yes","","","","","","","","","","","","","","Yes","","Yes","","No","TarFS, TFTP FS, IMFS, miniIMFS"
"HelenOS","Yes","No","Yes","No","No","No","No","No","No","No","Yes","No","Yes","No","No","No","Yes","","No","locfs, exFAT"
"E/OS","Yes","No","Yes","No","No","No","No","No","No","No","Yes","Yes","Yes","No","Yes","Yes","Yes","","No",""
"Name","FAT16, dosfs; FAT32, vfat","NTFS","Ext2","Ext3","XFS","ReiserFS","UFS","UFS2","HFS","HFS+","MINIXfs","BFS","ISO 9660","UDF","NFS","SMBFS","RAM disk, tmpfs","ZFS","HAMMER","Other special file systems"
