"Editor","CSS2","Frames","Java","JavaScript","XSLT","XHTML","MathML","XForms","RSS","Atom","XPath"
"Amaya","Partial","No","No","No","No","Yes","Yes","No","No","No","?"
"Aptana","Yes","Yes","Yes","Yes","No","Yes","No","No","No","No","No"
"Arachnophilia","Yes","Yes","?","Yes","?","Yes","?","?","?","?","?"
"Bluefish","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"BlueGriffon","Yes
(via commercial proprietary add-on)","?","?","?","?","Yes","Yes
(via commercial proprietary add-on)","?","?","?","?"
"Brackets","Yes","Yes","Yes","Yes","?","Yes","?","?","Yes","Yes","?"
"Claris Homepage","Partial","Yes","No","Yes","No","No","No","No","No","No","No"
"CoffeeCup HTML Editor","Yes","Yes","No","Yes","No","Yes","No","No","Yes","Yes","No"
"Dreamweaver","Yes","Yes","Yes","Yes","Yes","Yes","Partial","Yes","Yes","?","Yes"
"Freeway","Yes","Yes","Partial","Yes","Yes","Yes","No","No","Yes","No","No"
"GoLive","Yes","Yes","Yes","Yes","No","Yes","No","No","No","No","No"
"HTML-Kit","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No"
"KompoZer","Yes","No","Yes","Yes","No","Yes","No","No","No","No","No"
"Maqetta","Yes","?","No","Yes","?","?","?","?","?","?","?"
"Microsoft Expression Web","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes"
"Microsoft FrontPage","Partial","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No"
"Microsoft SharePoint Designer","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes"
"Microsoft Visual Web Developer","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes"
"Nvu","Yes","No","No","Yes","No","Yes","No","No","No","No","No"
"OpenBEXI","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","No","No"
"openElement","Yes","Yes","Yes","Yes","No","Yes","No","No","Yes","No","No"
"OpenOffice.org","Yes","Yes","?","Yes","?","?","?","?","?","?","?"
"Quanta Plus","Yes","Yes","Yes","Yes","Yes","Yes","?","Yes","Yes","?","Yes"
"RapidWeaver","Yes","Yes","No","Yes","No","Yes","No","No","Yes","No","No"
"SeaMonkey Composer","Yes","Yes","No","Yes","No","No","No","No","No","No","?"
"TOWeb","Yes","Yes","Yes","Yes","No","Yes","Yes","No","Yes","No","No"
"Web Architect","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes","?"
"WebStorm IDE","Yes","Yes","No","Yes","Yes","Yes","No","No","?","?","Yes"
"Editor","CSS2","Frames","Java","JavaScript","XSLT","XHTML ","MathML","XForms","RSS","Atom","XPath"
