"Model","USB","FireWire 800","Optical drive","Gigabit Ethernet","AirPort Extreme","Bluetooth","Video interface","SD card slot","ExpressCard","Keyboard and mouse","iSight/Facetime Camera","Remote IR receiver"
"Mac mini","4","1","No","Yes","Yes","Yes","HDMI and Thunderbolt (interface)","Yes","No","No","No","Yes"
"Mac mini Server","4","1","No","Yes","Yes","Yes","HDMI and Thunderbolt (interface)","Yes","No","No","No","Yes"
"iMac 21.5 in low-end","4","1","SuperDrive DL","Yes","Yes","Yes","Thunderbolt (interface)","Yes","No","Yes","Yes","Yes"
"iMac 21.5 in high-end","4","1","SuperDrive DL","Yes","Yes","Yes","Thunderbolt (interface)","Yes","No","Yes","Yes","Yes"
"iMac 27 in low-end","4","1","SuperDrive DL","Yes","Yes","Yes","Thunderbolt (interface)","Yes","No","Yes","Yes","Yes"
"iMac 27 in high-end","4","1","SuperDrive DL","Yes","Yes","Yes","Thunderbolt (interface)","Yes","No","Yes","Yes","Yes"
"Mac Pro Quad-Core","5","4","SuperDrive DL","Yes","Yes","Yes","Dual-link DVI and two Mini DisplayPort's","No","No","Yes","No","No"
"Mac Pro 8-Core","5","4","SuperDrive DL","Yes","Yes","Yes","Dual-link DVI and two Mini DisplayPort's","No","No","Yes","No","No"
"Mac Pro 12-Core","5","4","SuperDrive DL","Yes","Yes","Yes","Dual-link DVI and two Mini DisplayPort's","No","No","Yes","No","No"
"MacBook Air 1.6 GHz","2","No","No","No","Yes","Yes","Thunderbolt (interface)","No","No","Integrated","Yes","No"
"MacBook Air 1.7 GHz","2","No","No","No","Yes","Yes","Thunderbolt (interface)","Yes","No","Integrated","Yes","No"
"MacBook Pro 13 in 2.3 GHz","2","1","SuperDrive DL","Yes","Yes","Yes","Thunderbolt (interface)","Yes","No","Integrated","Yes","Yes"
"MacBook Pro 13 in 2.7 GHz","2","1","SuperDrive DL","Yes","Yes","Yes","Thunderbolt (interface)","Yes","No","Integrated","Yes","Yes"
"MacBook Pro 15 in 2.0 GHz","2","1","SuperDrive DL","Yes","Yes","Yes","Thunderbolt (interface)","Yes","No","Integrated","Yes","Yes"
"MacBook Pro 15 in 2.2 GHz","2","1","SuperDrive DL","Yes","Yes","Yes","Thunderbolt (interface)","Yes","No","Integrated","Yes","Yes"
"","","","","","","","","","","","",""
