"Object orientation","Java","C#"
"Classes","mandatory","mandatory"
"Interfaces","Yes","Yes"
"Abstract classes","Yes","Yes"
"Member accessibility levels","Yes; public, package, protected, private","Yes; public, internal, protected, private, protected internal"
"Class-level inner classes","Yes;static inner classes are class level","Yes; all inner classes are class level"
"Instance-level inner classes","Yes","No"
"Statement-level (local) anonymous classes","Yes","Yes; Without methods"
"Partial class","No; but see AspectJ","Yes"
"Implicit (inferred) anonymous classes","No","Yes"
"Deprecation/obsolescence","Yes","Yes"
"Overload versioning","Some","Yes"
"Enums can implement interfaces","Yes","No"
"Properties","No, but see JavaBeans spec","Yes"
"Events","Provided by standard libraries","Built-in language feature"
"Operator overloading","No","Yes"
"Indexers","No","Yes"
"Implicit conversions","No","Yes"
"Explicit conversions","No","Yes"
