"Format","Languages","Format string syntax"
"associate(file, string); putf(file, $formatstring$, items)","ALGOL 68","ALGOL"
"Format(item, formatstring)","VB",""
"sprintf(formatstring, items)","Perl, PHP, Ruby","C"
"io_lib:format(formatstring, items)","Erlang",""
"sprintf(outputstring, formatstring, items)","C","C"
"std.string.format(formatstring, items)","D","C"
"Format(formatstring, items)","Object Pascal (Delphi)",""
"fmt.Sprintf(formatstring, items)","Go","C"
"printf -v outputstring formatstring items","Bash shell","C"
"formatstring % (items)","Python, Ruby","C"
"formatstring.format(items)","Python 3.x",".NET"
"Printf.sprintf formatstring items","OCaml, F#","C"
"Text.Printf.printf formatstring items","Haskell (GHC)","C"
"formatstring printf: items","Smalltalk  (GHC)","C"
"String.format(formatstring, items)","Java","C"
"String.Format(formatstring, items)","VB .NET, C#, F#",".NET"
"(format formatstring items)","Scheme (SRFI 28)","Lisp"
"(format nil formatstring items)","Common Lisp","Lisp"
"(format formatstring items)","Clojure","Lisp"
"formatstring -f items","Windows PowerShell",".NET"
"[NSString stringWithFormat:formatstring, items]","Objective-C (NSString * only)","C"
"String(format:formatstring, items)","Swift (Foundation)","C"
"string.format(formatstring, items) 
 (formatstring):format(items)","Lua","C"
"WRITE (outputstring, formatstring) items","Fortran","Fortran"
"put string(string) edit(items)(format)","PL/I","PL/I (similar to Fortran)"
"String.format(formatstring, items)","Cobra",".NET"
