"Products","Feature","Ace (editor)","CodeMirror","Orion","CodePress","CodeTextArea","EditArea","Helene","markItUp!","MDK-Editor"
"P26","","","","","","","","","",""
"P27","","","","","","","","","",""
"P28","","","","","","","","","",""
"P29","","","","","","","","","",""
"P30","","","","","","","","","",""
"P31","","","","","","","","","",""
"P32","","","","","","","","","",""
"P33","","","","","","","","","",""
"P34","","","","","","","","","",""
"P35","","","","","","","","","",""
"P36","","","","","","","","","",""
"P37","","","","","","","","","",""
"P38","","","","","","","","","",""
"P39","","","","","","","","","",""
"P40","","","","","","","","","",""
"P41","","","","","","","","","",""
"P42","","","","","","","","","",""
"P43","","","","","","","","","",""
"P44","","","","","","","","","",""
"P45","","","","","","","","","",""
"P46","","","","","","","","","",""
"P47","","","","","","","","","",""
"P1","Implementation","","nestable full parsers","pattern-based parser","pattern-based parser","","","","","parsers"
"P2","Syntax highlight","Yes","Over 100 languages","mixed mode: HTML + JavaScript and CSS, PHP, EJS; single mode: JavaScript, Java, JSON, CSS, Python, Ruby, XML, YAML (pluggable)","limited mixed mode: HTML + JavaScript (no CSS), PHP + HTML (no JavaScript or CSS), Java, Perl, SQL","only keywords","only one language at a time: Perl, PHP, CSS, Javascript, Python, HTML, XML, VB, C, CPP, SQL, Pascal, Basic, Brainf*ck","PHP","No","mixed mode: PHP + HTML + JavaScript + CSS, single-mode: PHP, Javascript, CSS, XML; extensible"
"P3","Syntax checking","HTML, CSS, JavaScript (using JSHint)","Some","JavaScript (using JSLint)","No","","","No","","HTML, JavaScript (using JSLint)"
"P4","Tab support","Yes","Yes","Yes","Some","","Yes","","","Yes"
"P5","Indent, new line keeps level","optional setting that is on by default","Yes","Yes","very limited","No","Yes","N/A (can't press Enter)","No","Yes"
"P6","Indent, syntax","Yes","Yes","Yes","","","No","","","No"
"P7","Indent, selected block","yes, including Shift+Tab","either automatically, or block-level indent/unindent","yes, including Shift+Tab","No","","yes, including Shift+Tab","","","yes, including Shift+Tab and using context menu"
"P8","Bracket matching","Yes","Yes","Yes","style=""background: #FFD; color: black; vertical-align: middle; text-align: center; "" class=""partial table-partial""|Some","Ctrl+B; no angle bracket matching","","","No","matching bracket ([{<>}]) always highlighted"
"P9","XML matching tag highlight","Yes","Yes","No","No","","","","","Yes"
"P10","Code folding","Yes","Yes","Some","No","No","No","No","No","No"
"P11","Code snippets","Yes","through API/add-on","Some","type 'for' or 'if' then Tab","No","Yes","No","Yes","JavaScript"
"P12","Code suggestion","Yes","example","Yes through esprima content assist plugin","No","","style=""background:#9F9;vertical-align:middle;text-align:center;"" class=""table-yes""|Yes","","No","CSS, HTML, JavaScript)"
"P13","Toggle syntax highlight on/off","Yes","Yes","No","","","last example in demo","","N/A","textmode"
"P14","Keyboard shortcuts","All Common Shortcuts & Custom Keybindings","fully configurable","Yes","","","some common used: Ctrl+f, Ctrl+g,Ctrl+z,Ctrl+y","","Yes","All key combos (except F1 in IE7) can be bound to shortcuts"
"P15","Line numbers","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","supports mouse selection"
"P16","Search & replace","regex supported","via API","Yes","","No","toolbar button","","","has API for the studio"
"P17","Spell checking","addon for context menu","No","No","browser-based","none","browser-based","none","browser-based","No"
"P18","Toolbar","But command line console","No","No","","No","Yes","No","Yes","No"
"P19","Visual styling","Fully theme-able","CSS-based themes","Yes","","font-type and font-size","","","","5 styles to choose from, having 2 font-sizes"
"P20","Undo/Redo","Yes","Yes","Yes","Yes","","Yes","","","Differential Undo"
"P21","Multiple cursors / Block selection","Multiple cursors","Yes","Yes","No","No","No","No","No","No"
"P22","IndentGuides","Yes","No","No","No","No","No","No","No","No"
"P23","Inline widgets","Yes","Yes","No","No","No","No","No","No","No"
"P24","Non US charset support","Yes","Yes","Yes","","","","","","No"
"P25","","","","","","","","","",""
