"Software","Budget Management","Time Tracking","Invoicing"
"10,000ft","Yes","Yes","No"
"2-plan","No","No","No"
"5pm","No","Yes","No"
"24SevenOffice","Yes","Yes","Yes"
"AceProject","No","Yes","No"
"Advanced Projects","Yes","Yes","Yes"
"Anyplan","Yes","Yes","No"
"Apache OFBiz","Yes","Yes","Yes"
"Apache Bloodhound","No","No","No"
"Apollo","No","Yes","No"
"Assembla","No","Yes","No"
"AtTask","Yes","Yes","No"
"Axosoft","No","Yes","No"
"Basecamp","No","No","No"
"Binfire","No","No","No"
"Bontq","No","No","No"
"Brightpod","No","Yes","No"
"BrightWork","No","No","No"
"Calligra Plan","No","No","No"
"CEITON","Yes","Yes","Yes"
"Celoxis","Yes","Yes","Yes"
"Central Desktop","No","Yes","No"
"Clarizen","Yes","Yes","No"
"ClickHome","No","No","No"
"ClipPod","No","No","No"
"Collabtive","No","Yes","No"
"Compuware Changepoint","No","Yes","No"
"ConceptDraw Project","Yes","Yes","No"
"Concerto Projects","Yes","Yes","Yes"
"Contactizer","No","No","No"
"Copper Project","Yes","Yes","Yes"
"Deltek Open Plan","No","Yes","No"
"Deltek WelcomHome","No","Yes","No"
"DeskAway","No","Yes","No"
"Doolphy","No","Yes","No"
"dotProject","No","No","No"
"DynaRoad","Yes","Yes","No"
"Easy projects","Yes","Yes","Yes"
"Eclipse PPM software","No","No","No"
"Endeavour Software Project Management","No","No","No"
"eGroupWare","No","Yes","No"
"enQuire","Yes","Yes","Yes"
"Eylean Board","No","Yes","No"
"FastTrack Schedule","No","No","No"
"Feng Office Community Edition","No","Yes","Yes"
"FinancialForce.com","No","Yes","Yes"
"FogBugz","No","Yes","No"
"FusionForge","No","Yes","No"
"Ganttic","No","No","No"
"GanttProject","No","No","No"
"Genius Project","Yes","Yes","Yes"
"Goodwerp","No","Yes","Yes"
"GroveSite","No","No","No"
"Hall.com","No","No","No"
"Hansoft","No","Yes","No"
"HP Project & Portfolio Software","No","No","No"
"Huddle","No","No","No"
"Hyperoffice","No","Yes","No"
"iManageProject","No","Yes","No"
"InLoox","Yes","Yes","Yes"
"in-Step BLUE","Yes","Yes","No"
"Intellinote","No","No","No"
"Intervals","Yes","Yes","Yes"
"JIRA","No","Yes","No"
"Journyx","No","Yes","Yes"
"Kayako helpdesk software","No","No","No"
"Launchpad","No","No","No"
"LibrePlan","No","Yes","No"
"LiquidPlanner","No","Yes","No"
"LisaProject","No","No","No"
"MacProject","No","No","No"
"MantisBT","No","Yes","No"
"MatchWare MindView 4 Business Edition","No","No","No"
"Mavenlink","Yes","Yes","Yes"
"Merlin","Yes","No","No"
"Métier","Yes","Yes","Yes"
"Microsoft Dynamics AX","Yes","Yes","Yes"
"Microsoft Office Project Server","Yes","Yes","No"
"Microsoft Project","Yes","Yes","No"
"Microsoft SharePoint Server","No","No","No"
"Microsoft Team Foundation Server","No","No","No"
"Milestones Professional","No","No","No"
"MindGenius","No","No","No"
"NetPoint","No","No","No"
"NetSuite","Yes","Yes","No"
"MyWorkPLAN","Yes","No","No"
"O3Spaces","No","No","No"
"OnePager Pro","No","No","No"
"OmniPlan","No","No","No"
"Onepoint Project","No","No","No"
"Open Workbench","No","No","No"
"Odoo","Yes","Yes","Yes"
"OpenProj","No","No","No"
"OpenProject","Yes","Yes","No"
"Oracle Primavera EPPM (Primavera P6)","Yes","Yes","No"
"phpGroupWare","No","No","No"
"PHProjekt","No","Yes","No"
"Pivotal Tracker","No","No","No"
"Planbox","No","Yes","No"
"Plandora","Yes","Yes","No"
"Planisware","Yes","Yes","Yes"
"Planner Suite","No","Yes","Yes"
"PLANTA Project","Yes","No","No"
"Project KickStart","No","No","No"
"Project Team Builder","No","No","No"
"ProjectManager.com","Yes","Yes","No"
"Project.net","No","Yes","Yes"
"Projectplace","No","No","No"
"Projecturf","Yes","Yes","No"
"Projektron BCS","No","No","No"
"ProjeQtOr","Yes","Yes","Yes"
"Proliance","No","No","No"
"Prolog","Yes","Yes","Yes"
"QuickBase","No","No","No"
"RationalPlan","Yes","Yes","Yes"
"Realisor","No","No","No"
"Redbooth","No","Yes","No"
"Redmine","No","Yes","No"
"RhodeCode","No","No","No"
"SAP Business ByDesign","Yes","Yes","Yes"
"Sciforma","Yes","Yes","No"
"Severa","No","Yes","No"
"Smartsheet","No","No","No"
"Spider Project","Yes","Yes","Yes"
"TACTIC","No","No","No"
"Talygen","No","Yes","Yes"
"TargetProcess","No","Yes","No"
"TaskJuggler","No","No","No"
"Teamcenter","Yes","Yes","No"
"TeamDynamixHE","Yes","Yes","No"
"TeamLab","No","No","No"
"Twproject","Yes","Yes","No"
"TestTrack","No","Yes","No"
"The Bug Genie","No","Yes","No"
"Tom's Planner","No","No","No"
"Trac","No","No","No"
"TrackerSuite.Net","No","Yes","No"
"Traction TeamPage","No","Yes","No"
"Trello","No","No","No"
"Ubidesk","No","No","No"
"VPMi","Yes","Yes","No"
"web2project","No","No","No"
"Workgroups DaVinci","Yes","Yes","Yes"
"WorkPLAN Enterprise","No","Yes","No"
"workspace.com","No","Yes","No"
"Wrike","No","Yes","No"
"Zoho Projects","No","Yes","Yes"
