"","Game engine type","Source code available?","Fully customizable user interface","Windowable","Custom UI Mods / Addons"
"Aion: The Tower of Eternity","3D","No","Partial","Yes","No"
"Anarchy Online","3D","No","Yes","Yes",""
"Asheron's Call","3D","No","?","Yes",""
"City of Heroes","3D","No","Partial","Yes",""
"DarkSpace","3D","Yes","No","Yes",""
"Dark Age of Camelot","3D","No","Yes","Yes",""
"Dofus","2D","No","Yes","Yes",""
"Dragon Oath","3D","No","Partial","Yes",""
"Dungeons & Dragons Online: Stormreach","3D","No","No","Yes",""
"EVE Online","3D","No","Adjustable/movable windows and Colors, no custom additions","Yes","No"
"EverQuest","3D","No","Yes","Yes",""
"EverQuest II","3D","No","Yes","Yes",""
"Final Fantasy XI","3D","No","No","Yes",""
"Guild Wars","3D","No","Adjustable/movable windows, no custom additions","Yes",""
"Guild Wars 2","3D","No","?","Yes","?"
"Knight Online","3D","No","Partial","Yes",""
"Lineage II","3D","No","Adjustable/movable windows","Yes",""
"The Lord of the Rings Online: Shadows of Angmar","3D","No","Partial","Yes","Yes"
"MapleStory","2D","No","No","Yes",""
"Perfect World","3D","No","Yes","Yes",""
"Pirates of the Burning Sea","3D","No","Yes","Yes",""
"Ragnarok Online","2D, 3D","No","Partial","Yes",""
"Rift (video game)","3D","No","Yes","Yes","Yes"
"Rise: The Vieneo Province","3D","No","Adjustable/movable windows","Yes",""
"RuneScape","3D","No","Yes","Yes",""
"Ryzom","3D","Yes","Partial","Yes",""
"Star Trek Online","3D","No","Yes","Yes",""
"Star Wars Galaxies","3D","No","No","Yes",""
"Star Wars The Old Republic","3D","No","Yes (update 1.2)","Yes","No"
"Tabula Rasa","3D","No","No","Yes",""
"Tibia","2D","No","Partial","Yes",""
"Ultima Online","2D, 3D","Some","Yes","Yes",""
"Vendetta Online","3D","No","Partial","Yes","Yes"
"WonderKing Online","2D","No","No","Yes",""
"World of Warcraft","3D","No","Yes","Yes","Yes"
