"Name","Creator/Maintainer","Based on","Standardized?","Specification","Binary?","Human-readable?","Supports reference?","Schema/IDL?","Standard API"
"Apache Avro","Apache Software Foundation","N/A","Yes","Apache Avro™ 1.7.5 Specification","Yes","No","N/A","Yes (built-in)","N/A"
"ASN.1","ISO, IEC, ITU-T","N/A","Yes","ISO/IEC 8824; X.680 series of ITU-T Recommendations","Yes
(BER, DER, PER, OER, or custom via ECN)","Yes
(XER, GSER, or custom via ECN)","Partial","Yes (built-in)","N/A"
"Bencode","Bram Cohen (creator)
BitTorrent, Inc. (maintainer)","N/A","Yes","Part of BitTorrent protocol specification","Partially
(numbers and delimiters are ASCII)","Partially","No","No","No"
"Binn","Bernardo Ramos","N/A","Yes","Binn Specification","Yes","No","No","No","No"
"BSON","MongoDB","JSON","Yes","BSON Specification","Yes","No","No","No","No"
"Candle Markup","Henry Luo","XML, JSON, JavaFX","Yes","Candle Markup Reference","No","Yes","Yes
(XPointer, XPath)","Yes
(Candle Pattern Reference)","Yes
(XQuery, XPath)"
"Comma-separated values (CSV)","RFC author:
Yakov Shafranovich","N/A","Partial
(myriad informal variants used)","RFC 4180
(among others)","No","Yes","No","No","No"
"D-Bus Message Protocol","freedesktop.org","N/A","Yes","D-Bus Specification","Yes","Yes
(Type Signatures)","No","No","Yes
(see D-Bus)"
"Fast Infoset","ISO, IEC, ITU-T","XML","Yes","ITU-T X.891 and ISO/IEC 24824-1:2007","Yes","Yes
(XML)","Yes
(XPointer, XPath)","Yes
(XML schema)","Yes
(DOM, SAX, XQuery, XPath)"
"JSON","Douglas Crockford","JavaScript syntax","Yes","RFC 4627
(ancillary:
RFC 6901,
RFC 6902)","No, but see UBJSON, BSON","Yes","Yes
(JSON Pointer (RFC 6901);
alternately:
JSONPath, JPath, JSPON, json:select())","Partial
(JSON Schema Proposal, Kwalify, Rx, Itemscript Schema)","Partial
(Clarinet, JSONQuery, JSONPath)"
"MessagePack","Sadayuki Furuhashi","JSON (loosely)","Yes","MessagePack format specification","Yes","No","No","No","No"
"Netstring","Dan Bernstein","N/A","Yes","netstrings.txt","Yes","Yes","No","No","No"
"OGDL","Rolf Veen","?","Yes","Specification","Yes
(Binary Specification)","Yes","Yes
(Path Specification)","Yes
(Schema WD)",""
"OpenDDL","Eric Lengyel","C, PHP","Yes","OpenDDL.org","No","Yes","Yes","No","Yes
(OpenDDL Library)"
"PHP's serialize() & unserialize()","PHP Group","N/A","Yes","No","Yes","Yes","Yes","No","Yes"
"Data::Dumper format (Core Perl Module)","Gurusamy Sarathy (ActiveState developer)","Perl data types","Yes","No","?","Yes","No","?","Yes"
"Property list","NeXT (creator)
Apple (maintainer)","?","Partial","Public DTD for XML format","Yes","Yes","No","?","Cocoa, CoreFoundation, OpenStep, GnuStep"
"Protocol Buffers (protobuf)","Google","N/A","Partial","Developer Guide: Encoding","Yes","Partial","No","Yes (built-in)",""
"ROOT","CERN & FNAL","N/A","No","N/A","Yes","Yes
(optional XML output for debugging)","Yes","Yes
(C++ object persistency framework)","Yes
(Native C++ API, bindings for Python, Ruby, and others)"
"S-expression","Internet Draft author:
Ron Rivest","Lisp, Netstring","Partial
(largely de facto)","""S-Expressions"" Internet Draft","Yes
(""Canonical representation"")","Yes
(""Advanced transport representation"")","No","No",""
"SCaViS","jWork.ORG","N/A","Yes","N/A","Yes","Yes
(XML, Java Serialization, ProtocolBuffers)","Yes","Yes
(Java object persistency, XML, ProtocolBuffers)","Yes
(Native Java API, bindings for Jython, JRuby, Groovy and others)"
"Smile","Tatu Saloranta","JSON","Yes","Smile Format Specification","Yes","No","No","No","No"
"Structured Data eXchange Format","Max Wildgrube","N/A","Yes","RFC 3072","Yes","No","No","No",""
"Thrift","Facebook (creator)
Apache (maintainer)","N/A","No","Original whitepaper","Yes","Partial","No","Yes (built-in)",""
"UBJSON","The Buzz Media, LLC","JSON, BSON","No","","Yes","No","No","No","No"
"eXternal Data Representation (XDR)","Sun Microsystems (creator)
IETF (maintainer)","N/A","Yes","RFC 4506","Yes","No","Yes","Yes","Yes"
"XML","W3C","SGML","Yes","W3C Recommendation:
1.0 (Fifth Edition)
1.1 (Second Edition)","Partial
(Binary XML)","Yes","Yes
(XPointer, XPath)","Yes
(XML schema, RELAX_NG)","Yes
(DOM, SAX, XQuery, XPath)"
"XML-RPC","Dave Winer","XML, SOAP","Yes","XML-RPC Specification","No","Yes","No","No","No"
"YAML","Clark Evans,
Ingy döt Net,
and Oren Ben-Kiki","C, Java, Perl, Python, Ruby, Email, HTML, MIME, URI, XML, SAX, SOAP, JSON","Yes","Version 1.2","No","Yes","Yes","Partial
(Kwalify, Rx, built-in language type-defs)","No"
