"Audio compression format","Algorithm","Sample Rate","Bit rate","Latency","CBR","VBR","Stereo","Multichannel"
"AAC","MDCT, Hybrid Subband (AAC-HE)","8–192 kHz","8–529 kbit/s (stereo)","20–405 ms","Yes","Yes","Yes: Dual, Mid/Side, Intensity, Parametric","Yes: Up to 48 channels"
"AC3","MDCT","32, 44.1, 48 kHz","32–640 kbit/s","40.6 ms","Yes","No","Yes","Yes: Up to 6 channels"
"AMBE","?","8 kHz","2, 9.6 kbit/s","?","?","?","?","?"
"AMR","ACELP","8 kHz","4.75, 5.15, 5.90, 6.70, 7.40, 7.95, 10.20, 12.20 kbit/s","25 ms","Yes","Yes","No","No"
"AMR-WB
(G.722.2)","ACELP","16 kHz","6.60, 8.85, 12.65, 14.25, 15.85, 18.25, 19.85, 23.05, 23.85 kbit/s","25 ms","Yes","Yes","Yes: only in MPEG-4 Part 12 container","No"
"AMR-WB+","ACELP","8, 11.025, 16, 22.05, 32, 44.1, 48 kHz","6–36 kbit/s (mono)
7–48 kbit/s (stereo)","60–90 ms","Yes","Yes","Yes","No"
"apt-X","Subband","24–48 kHz (stereo)","192–384 kbit/s (stereo)","2 ms","Yes (4:1)","No","Yes","Yes: Up to 8 channels"
"ATRAC1","MDCT-Hybrid Subband","44.1 kHz","292 kbit/s",">100 ms","Yes","No","Yes: Dual Only","No"
"ATRAC3","MDCT-Hybrid Subband","44.1 kHz","66, 105, 132, 146, 176, 264, 352 kbit/s",">100 ms","Yes","No","Yes: Dual (LP2), Mid/Side (LP4)","No"
"ATRAC3plus","MDCT-Hybrid Subband","44.1 kHz","48–352 kbit/s",">100 ms","Yes","?","Yes","Yes: Up to 6 channels"
"BroadVoice (BV16, BV32)","Two-Stage Noise Feedback Coding (TSNFC)","8, 16 kHz","16, 32 kbit/s","5 ms","Yes","No","No","No"
"Codec2","Speech","8 kHz","1.2, 1.4, 2.4, 2.55 kbit/s","20–40 ms","Yes","No","No","No"
"GSM-HR","VSELP","8 kHz","5.6 kbit/s","25 ms","Yes","No","No","No"
"GSM-FR","RPE-LTP","8 kHz","13 kbit/s","20–30 ms","Yes","No","No","No"
"GSM-EFR","ACELP","8 kHz","12.2 kbit/s","20–30 ms","Yes","No","No","No"
"HVXC","Speech","8 kHz","2, 4 kbit/s","36 ms","Yes","Yes","No","No"
"iLBC","Block Independent LPC","8 kHz","13.33, 15.20 kbit/s","25, 40 ms","Yes","No","No","No"
"iSAC","Transform coding","16, 32 kHz","10–52 kbit/s","33, 63 ms","Yes","Yes","No","No"
"MP3 (MPEG-1, 2, 2.5 Audio Layer III)","MDCT, Hybrid Subband","8, 11.025, 12, 16, 22.05, 24, 32, 44.1, 48 kHz","8, 16, 24, 32, 40, 48, 56, 64, 80, 96, 112, 128, 144, 160, 192, 224, 256, 320 kbit/s",">100 ms","Yes","Yes","Yes: Dual, Mid/Side, Intensity","No"
"MPEG-1 Audio Layer II (MP2)","Subband","32, 44.1, 48 kHz","32, 48, 56, 64, 80, 96, 112, 128, 160, 192, 224, 256, 320, 384 kbit/s","","Yes","Yes: but decoders are not required to support it","Yes: Dual, Intensity","No"
"MPEG-2 Audio Layer II (MP2)","Subband","16, 22.05, 24 kHz","8, 16, 24, 32, 40, 48, 56, 64, 80, 96, 112, 128, 144, 160 kbit/s","","Yes","Yes: but decoders are not required to support it","Yes","Yes: up to 5 full range audio channels and an LFE-channel with MPEG Multichannel"
"Musepack","Subband","32, 37.8, 44.1, 48 kHz","3–1300 kbit/s","?","No","Yes","Yes","Yes: Up to 8 channels"
"Opus","LP, MDCT","8–48 kHz","6–510 kbit/s","5–66.5 ms","Yes","Yes","Yes","Yes: Up to 255 channels"
"RealAudio","MDCT","Varies (see article)","Varies (see article)","Varies","Yes","Yes","Yes","Yes: Up to 6 channels"
"SILK","LTP","8, 12, 16, 24 kHz","6–40 kbit/s","25 ms","Yes","?","?","?"
"Siren 7","Derived from PT716plus, MLT","16 kHz","16, 24, 32 kbit/s","40 ms","Yes","No","No","No"
"Siren 14","MLT","32 kHz","24, 32, 48 kbit/s (mono)
48, 64, 96 kbit/s (stereo)","40 ms","Yes","No","Yes","No"
"Siren 22","MLT","48 kHz","32, 48, 64 kbit/s (mono)
64, 96, 128 kbit/s (stereo)","40 ms","Yes","No","Yes","No"
"Speex","CELP","8, 16, 32, (48) kHz","2.15–24.6 kbit/s (NB)
4–44.2 kbit/s (WB)","30 ms (NB)
34 ms (WB)","Yes","Yes","Yes: Intensity","Yes"
"VMR-WB","ACELP","16 kHz","8.55, 4.0, 0.8, 13.3, 6.2, 2.7, 1.0 kbit/s","33.75 ms","Yes","Yes","?","?"
"Vorbis (Ogg)","MDCT","1 Hz to 200 kHz","variable",">100 ms","Yes/ABR","Yes","Yes: Dual, Lossless, Phase, Point (Intensity)","Yes: Up to 255 channels"
"WavPack Lossy","Prediction, Quantization","1 Hz to 16.777216 MHz","196 kbit/s and up in lossy mode (for CD audio)","?","Yes","Yes","Yes","Yes: Up to 256 channels"
"Windows Media Audio Standard","MDCT","8, 11.025, 16, 22.05, 32, 44.1, 48 kHz","8–768 kbit/s",">100 ms","Yes","Yes","Yes","No"
"Windows Media Audio Pro","MDCT","8, 11.025, 16, 22.05, 32, 44.1, 48, 88.2, 96 kHz","4–768 kbit/s",">100 ms","Yes","Yes","Yes","Yes: At least 8 channels, expandable"
