"","""+"" quantifier","Negated character classes","Non-greedy quantifiers","Shy groups","Recursion","Look-ahead","Look-behind","Backreferences",">9 indexable captures"
"Boost.Regex","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Boost.Xpressive","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"CL-PPCRE","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes"
"EmEditor","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","No"
"FREJ","No","No","Some","Yes","No","No","No","Yes","Yes"
"GLib/GRegex","Yes","?","Yes","?","No","?","?","?","?"
"GNU grep","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","?"
"Haskell","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes"
"ICU Regex","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes"
"Java","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes"
"JavaScript (ECMAScript)","Yes","Yes","Yes","Yes","No","Yes","No","Yes","Yes"
"JGsoft","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes"
"Lua","Yes","Yes","Yes","No","No","No","No","Yes","No"
".NET","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes"
"OCaml","Yes","Yes","No","No","No","No","No","Yes","No"
"OmniOutliner 3.6.2","Yes","Yes","Yes","No","No","No","No","?","?"
"PCRE","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Perl","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"PHP","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Python","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes"
"Qt/QRegExp","Yes","Yes","Yes","Yes","No","Yes","No","Yes","Yes"
"R","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes"
"RE2","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"Ruby","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"TRE","Yes","Yes","Yes","Yes","No","No","No","Yes","No"
"Vim 7.4b.000 (2013-07-28)","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","No"
"RGX","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes"
"Tcl","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes"
"TRegExpr","Yes","?","Yes","?","?","?","?","?","?"
"XRegExp","Yes","Yes","Yes","Yes","No","Yes","No","Yes","Yes"
