"Program","Operating systems","License","Protocols/based upon/compatible with","Encryption","Other capabilities","Key and target markets","Latest release"
"3CX Phone System","Microsoft Windows","Proprietary","SIP","TLS, SRTP","Voice and Video IP telephony, Voice and Video conferencing, voice mail and instant messaging","<= 50,000 users","12 (Sep 2013)"
"AS5300","Linux, Windows Server 2003","Proprietary","SIP, UNIStim, MLPP","SSL, TLS,
SRTP, SDESC","Voice and Video IP telephony, Voice and Video conferencing, voice mail and instant messaging","1,000 - 25,000 users","1.0 (Jan 2008)"
"AskoziaPBX","no additional OS required (Linux based)","GPL / Open core","SIP, H.323, IAX, SCCP","No","ISDN, analog, Voicemail, Conferencing, MOH, ACD, IVR, Call forwarding, Call recording","SME up to 50 users","2.2.2 (Dec 2012)"
"Asterisk PBX","Linux/BSD, Mac OS X, Solaris","GPL / Proprietary","SIP, H.323, IAX","TLS, SRTP","VoIP Gateway, voicemail, basic accounting (can be expanded by interface with ODBC-compliant database), billing, conferencing, hot-desking, IVR trees with conditional logic, call queuing, automated call distribution","Enthusiasts, developers, enterprise users (capacity dependent on server design, scalable across multiple servers)","13.3.2 (8 April 2015; 2 months ago) 
11.17.1 (8 April 2015; 2 months ago)"
"Brekeke SIP Server","Linux/Microsoft Windows","Proprietary","SIP","TLS, SRTP","SIP Registrar, SIP Proxy","SIP Service Providers, VoIP service providers, Healthcare, Security","3.3 (Mar 2014)"
"Brekeke PBX","Linux/Microsoft Windows","Proprietary","SIP","TLS, SRTP","Voice and Video IP telephony, Voice and Video conferencing, and voice mail","Hosted service providers, Mid-large enterprise","3.3 (Mar 2014)"
"CallMax Softswitch","Linux","Proprietary","SIP, H.323","SSL, TLS, HTTPS","Integrated billing, IP PBX Platform, Calling card platform, Callshop module, Customer Web Portal, Retail SMS Platform.","SIP Service Providers, Residential & Business VoIP providers, Corporate Clients, Other Class 5 softswitch users","3.5 (May 2015)"
"CommuniGate Pro","Linux/BSD, Mac OS X, Windows, Solaris, HPUX, AIX","Proprietary","SIP, XIMSS Protocol, XMPP","SSL, TLS","SIP Registrar/Proxy, Authentication, Diameter, RADIUS, ENUM, and many others...","Mobile Operators, ISP's, and  SaaS providers","6.0.9 March 31, 2014"
"Elastix","Linux","GPL","SIP, IAX, H323, XMPP","No","Unified communication server that also supports chat, mail and fax.","Capacity dependent on server design, scalable across multiple servers","2.4.0 (February 6, 2013)"
"FreeSWITCH","Linux/BSD, Mac OS X, Solaris, Windows","Mozilla Public License","SIP, NAT-PMP, STUN, SIMPLE, XMPP, Google Talk (Jingle), IAX, H.323, MRCP, RSS, Skype","TLS, SRTP, ZRTP","Recording, Voicemail, Conferencing, RADIUS, ENUM, IM Proxy, Streaming, Media gateway, Soft-PBX, IVR (modular)","Large soft-switch users, home PBX users, softphone users","1.4.19 (May 28, 2015; 14 days ago)"
"FreePBX","Linux, BSD, Solaris","GPL","SIP, IAX, H323, XMPP","TLS, SRTP, ZRTP","Complete PABX Service, based around Asterisk and PHP 5.3. Provides a complete replacement for a legacy non-VoIP phone system. Under current and active development.","Scales from Raspberry PI (3 users) to multiple parallel clusters (10K+ simultaneous calls)","12.0 (October 2014)"
"GNU Gatekeeper","Linux/FreeBSD, Mac OS X, Windows XP/2000/Vista/Windows 7","GPL","H.323","H.235","H.460.18 firewall traversal, Routing, Accounting","video conferencing, VoIP carriers large and small","3.7 (Aug 15, 2014)"
"MediaCore Softswitch","Linux","Proprietary","H.323, SIP, SMPP","SSL, TLS, HTTPS","Dynamic routing mechanism (with LCR, Quality, Percentage, Profit, and Priority based routings, Jurisdictional routing support), integrated billing, SIP-H.323 protocol converter, Transcoding - codec converter module, Guardian - revenue assurance module, SBC functionality, full and media proxy, SMS support","Transit VoIP services providers, VoIP wholesale carriers, VoIP termination providers, SMS carriers","4.5.1 (June 2015)"
