"Client","Handwriting mode","Dockable","Multiaccount","Spell check","User-defined graphic emoticons","Animations","OAuth"
"Adium","Yes, receive only","Yes","Yes","Yes","Partial","Partial","?"
"AIM","No","Yes","No","No","?","Partial","?"
"aMSN","Yes","Yes","Yes","Yes","Yes","Yes","?"
"Ayttm","No","No","Yes","Yes","Yes","No","?"
"BitlBee","No","N/A","Yes","?","?","?","?"
"Centericq","?","?","?","?","?","?","?"
"climm","N/A","?","Yes","?","?","?","?"
"Coccinella","?","Yes","Yes","Yes","?","?","?"
"Empathy","No","Yes","Yes","Yes","Yes","Yes","Yes"
"Fire","?","?","?","?","?","?","?"
"Gajim","?","Yes","Yes","Yes","Yes","Yes","?"
"Google Talk","Yes/No","Yes","Yes/No","No","No","Yes/No","No"
"iChat","No","?","Yes","Yes","?","?","?"
"ICQ","No","Yes","No","Yes","No","Yes, tZer","?"
"IMVU","?","?","?","?","?","?","?"
"Jitsi","No","No","Yes","Yes","Yes","Yes","?"
"Kadu","No","Yes","Yes","Yes","Partial","Yes, emoticons","No"
"Kopete","No","Yes","Yes","Yes","Yes","Yes, emoticons","No"
"Miranda IM","No","Yes","Yes","Yes","Yes","Yes","?"
"MySpaceIM","?","?","?","?","?","?","?"
"naim","No","?","?","?","?","?","?"
"Paltalk","?","?","?","?","?","?","?"
"Pidgin","No","Yes","Yes","Yes","Yes","Yes, emoticons, user icons","?"
"Psi","No","?","Yes","Yes","Yes","?","?"
"Qnext","No","No","No","Yes","No","Yes, animated user icons, emoticons, themes","?"
"QIP","Yes","Yes","Yes","Yes","Yes","Yes, emoticons","?"
"QuteCom","?","?","Yes","?","?","?","?"
"Skype","No","No","No","No","?","Yes, animated emoticons","?"
"Tencent QQ","No","Yes","Yes","No","Yes","Yes","?"
"Tkabber","No","Yes","Yes","Yes","Yes","Yes, animated emoticons","No"
"Trillian","Yes","Yes","Yes","Yes","No","Yes, animated emoticons","?"
"Windows Live Messenger","Yes","No","Yes","No","Yes","Yes, animated emoticons, winks","?"
"Yahoo! Messenger","?","?","?","No","?","?","?"
"Client","Handwriting mode","Dockable","Multiaccount","Spell check","User-defined graphic emoticons","Animations","OAuth for client authorization"
