"Name","Unicode Support","Single parent family","Same sex marriage","Witness to events","Name variants","Conflicting evidence","Source surety","Adoption & foster parent","non-standard calendar
in date fields"
"Agelong Tree","Yes","Yes","?","?","?","?","?","?","?"
"Ahnenblatt","Yes","Yes","Yes","No","No","?","No","No","Yes"
"Aldfaer","?","?","?","?","?","?","?","?","?"
"Ancestral Quest","Yes","?","No","?","?","?","?","Yes","?"
"Ancestris","Yes","?","Yes","Yes","Yes","Yes","?","Yes","Yes"
"Brother's Keeper","No","Yes","Yes","Yes","Yes","?","Yes","Yes","Yes"
"Family Historian","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Family Tree Builder","Yes","?","Yes","?","?","?","?","?","?"
"Family Tree Maker (Windows)","Yes","Yes","Partial
One partner mislabeled","No","Yes","Yes","Yes","Yes","No"
"Family Tree Maker for Mac","No","?","?","No","?","?","?","?","?"
"GEDitCOM II","Yes","?","?","?","?","?","?","?","?"
"Genbox Family History","Yes","?","?","?","?","?","?","?","?"
"GenealogyJ","Yes","?","Partial
One partner's gender mislabelled","No","Yes","Yes","?","Yes","?"
"Généatique","?","?","?","Yes","?","?","?","?","?"
"GenoPro","Yes","?","Yes","?","?","?","?","?","?"
"Gramps","Yes","Yes","Partial
One partner's gender mislabelled","Yes","Yes","?","?","Yes","Yes"
"Heredis","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes"
"Heredis Mac","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes"
"Heredis PC","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes"
"Legacy Family Tree","No","?","No","?","?","?","?","?","?"
"LifeLines","Yes","?","No","?","?","?","?","?","?"
"MacFamilyTree","Yes","?","?","?","?","?","?","?","?"
"MyBlood","Yes","?","?","?","?","?","?","?","?"
"ohmiGene","?","?","?","?","?","?","?","?","?"
"Personal Ancestral File","Yes","?","No","?","?","?","?","?","?"
"Reunion","Yes","?","Yes","?","?","?","?","Yes","?"
"RootsMagic","Yes","?","Yes","Yes
(paid version)","Yes","?","Yes","Yes","Yes"
"rootsTrust","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"SmartGenealogy","No","?","?","?","?","?","?","?","?"
"My Family Tree","Yes","Yes","Yes","?","Yes","Yes","Yes","Yes","Yes"
"The Master Genealogist","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
